# of Units,Incident Alarm Time,Problem Type,Location,Location Type
1,01/05/2018 3:05:16,"EMS call, excluding vehicle accident with injury",220  Parker DR ,1 or 2 family dwelling
1,01/05/2018 10:27:15,"Medical assist, assist EMS crew",1305  Wonder World DR ,Hospital - medical or psychiatric
1,01/05/2018 13:56:28,Vehicle accident with injuries,102 N IH 35  ,Vehicle parking area
1,01/05/2018 14:53:51,"EMS call, excluding vehicle accident with injury",220  Parker DR ,1 or 2 family dwelling
2,01/05/2018 14:55:17,"Medical assist, assist EMS crew",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,01/05/2018 15:30:00,Vehicle accident with injuries,1200  Thorpe LN ,Street or road in commercial area
1,01/05/2018 16:19:34,"EMS call, excluding vehicle accident with injury",1308  Wonder World DR ,"Clinic, clinic-type infirmary"
1,01/05/2018 16:54:22,"Smoke detector activation, no fire - unintentional",220  Teron DR ,1 or 2 family dwelling
2,01/05/2018 16:55:41,Motor vehicle accident with no injuries,204  NB  ,Highway or divided highway
1,01/05/2018 17:25:38,"EMS call, excluding vehicle accident with injury",627 E Hopkins ST ,Roller rink: indoor or outdoor
1,01/05/2018 18:12:27,"Alarm system sounded, no fire - unintentional",1019  Hwy 80  ,"Household goods, sales, repairs"
1,01/05/2018 19:28:51,"Medical assist, assist EMS crew",925  Hwy 80  ,Specialty shop
3,01/05/2018 20:56:14,Alarm system sounded due to malfunction,1650  River RD ,Multifamily dwellings
6,01/06/2018 7:03:52,"Smoke scare, odor of smoke",904  Dale DR ,1 or 2 family dwelling
1,01/06/2018 7:32:40,Motor vehicle accident with no injuries,  River RD ,Highway or divided highway
1,01/06/2018 12:03:19,"EMS call, excluding vehicle accident with injury",1900  Medical PKWY ,"24-hour care Nursing homes, 4 or more persons"
2,01/06/2018 12:06:51,Alarm system sounded due to malfunction,1354  Thorpe LN ,Multifamily dwellings
0,01/06/2018 13:42:12,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
4,01/06/2018 17:39:59,"Outside rubbish, trash or waste fire",  Hwy 80  ,Open land or field
1,01/06/2018 18:54:45,"EMS call, excluding vehicle accident with injury",222  Ramsay ST ,Multifamily dwellings
1,01/06/2018 19:28:57,"EMS call, excluding vehicle accident with injury",2013  North View DR ,"Jail, prison (not juvenile)"
1,01/06/2018 20:31:02,"EMS call, excluding vehicle accident with injury",1029  Haynes ST ,1 or 2 family dwelling
1,01/06/2018 20:39:42,No incident found on arrival at dispatch address,300  Patricia DR ,Street or road in commercial area
3,01/06/2018 21:41:45,Vehicle accident with injuries,1807  Hwy 21 DR ,Highway or divided highway
1,01/06/2018 21:45:22,Dispatched & cancelled en route,417 N Comanche ST ,Multifamily dwellings
1,01/06/2018 22:06:11,"Medical assist, assist EMS crew",1334 N IH 35  ,1 or 2 family dwelling
2,01/06/2018 22:30:45,Public service,1109  San Marcos PKWY ,Multifamily dwellings
1,01/06/2018 23:23:48,Public service,206  NB  ,Highway or divided highway
1,01/06/2018 23:38:59,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,01/07/2018 0:55:35,CO detector activation due to malfunction,109  Wedgewood WAY ,1 or 2 family dwelling
1,01/07/2018 3:01:43,"EMS call, excluding vehicle accident with injury",1053  Clovis Barker RD ,"Hotel/motel, commercial"
1,01/07/2018 3:14:35,Public service,1420  Old Ranch Road 12  ,"Service station, gas station"
2,01/07/2018 4:50:50,Public service,205  NB  ,Highway or divided highway
1,01/07/2018 10:00:40,"EMS call, excluding vehicle accident with injury",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
1,01/07/2018 10:45:16,"EMS call, excluding vehicle accident with injury",1000  Burleson ST ,1 or 2 family dwelling
1,01/07/2018 12:47:10,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
2,01/07/2018 13:03:28,Vehicle accident with injuries,105 W Wonder World DR ,Street or road in commercial area
2,01/07/2018 13:21:14,Motor vehicle accident with no injuries,206  SB  ,Highway or divided highway
1,01/07/2018 14:46:43,"EMS call, excluding vehicle accident with injury",105 N IH 35  ,Vacant lot
1,01/07/2018 20:07:16,"Medical assist, assist EMS crew",1951  Aquarena Springs DR ,Multifamily dwellings
0,01/07/2018 20:55:49,"EMS call, excluding vehicle accident with injury",109  Riviera ST ,1 or 2 family dwelling
1,01/07/2018 21:53:03,Hazmat release investigation w/ no hazmat,1415  Craddock AVE ,Multifamily dwellings
1,01/08/2018 6:45:43,"EMS call, excluding vehicle accident with injury",1004  Hwy 123  ,Restaurant or cafeteria
1,01/08/2018 7:34:48,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
4,01/08/2018 7:39:51,Vehicle accident with injuries,209 W Access RD ,Highway or divided highway
2,01/08/2018 8:28:25,No incident found on arrival at dispatch address,338 S Guadalupe ST ,Railroad right of way
1,01/08/2018 9:08:09,"Medical assist, assist EMS crew",1401 E McCarty LN ,Warehouse
1,01/08/2018 10:32:39,"Medical assist, assist EMS crew",737  Gravel ST ,1 or 2 family dwelling
1,01/08/2018 12:33:12,"EMS call, excluding vehicle accident with injury",109  Riviera ST ,1 or 2 family dwelling
1,01/08/2018 12:56:58,Assist invalid,211  Orchard ST ,1 or 2 family dwelling
1,01/08/2018 14:07:32,"EMS call, excluding vehicle accident with injury",1506 S IH 35  ,Multifamily dwellings
1,01/08/2018 17:16:05,"EMS call, excluding vehicle accident with injury",1202  Hwy 123  ,"Service station, gas station"
2,01/08/2018 17:30:25,"Good intent call, other",2113  River RD ,1 or 2 family dwelling
3,01/08/2018 21:07:20,Smoke or odor removal,147  Wainscot Oak WAY ,1 or 2 family dwelling
1,01/08/2018 21:21:11,"EMS call, excluding vehicle accident with injury",1340  Wonder World DR ,Hemodialysis unit
3,01/08/2018 22:00:09,Alarm system sounded due to malfunction,3939 S IH 35  ,"Textile, wearing apparel sales"
2,01/09/2018 0:19:30,No incident found on arrival at dispatch address,199  SB  ,Highway or divided highway
1,01/09/2018 0:30:57,Dispatched & cancelled en route,3939 S IH 35  ,Highway or divided highway
1,01/09/2018 3:15:33,"Medical assist, assist EMS crew",556  Bridlewood DR ,1 or 2 family dwelling
1,01/09/2018 10:31:39,"Medical assist, assist EMS crew",1121  Burleson ST ,1 or 2 family dwelling
3,01/09/2018 10:50:01,Motor vehicle accident with no injuries, E Hopkins ST ,Street or road in commercial area
1,01/09/2018 11:43:02,Gas leak (natural gas or LPG),706 S Guadalupe ST ,Restaurant or cafeteria
3,01/09/2018 12:58:38,"Brush, or brush and grass mixture fire",1709  Offermann Hill RD ,Open land or field
0,01/09/2018 13:23:03,"EMS call, excluding vehicle accident with injury",1022  Stagecoach TRL ,1 or 2 family dwelling
0,01/09/2018 14:37:08,"EMS call, excluding vehicle accident with injury",736  Willow Ridge DR ,1 or 2 family dwelling
3,01/09/2018 15:49:16,Grass fire, E Access RD ,Highway or divided highway
1,01/09/2018 18:20:47,"EMS call, excluding vehicle accident with injury",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
1,01/09/2018 18:33:38,"EMS call, excluding vehicle accident with injury",809  Franklin DR ,1 or 2 family dwelling
1,01/09/2018 21:32:28,"EMS call, excluding vehicle accident with injury",503  Uhland RD ,1 or 2 family dwelling
1,01/10/2018 23:40:38,"EMS call, excluding vehicle accident with injury",105  Eastwood ST ,1 or 2 family dwelling
1,01/11/2018 3:33:59,"EMS call, excluding vehicle accident with injury",1805 N IH 35  ,Multifamily dwellings
1,01/11/2018 5:45:24,"EMS call, excluding vehicle accident with injury",1506 S IH 35  ,Multifamily dwellings
1,01/11/2018 9:43:57,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,Multifamily dwellings
1,01/11/2018 10:07:25,"Electrical  wiring/equipment problem, other",507  Staples RD ,"Utility or Distribution system, other"
1,01/11/2018 12:54:13,"Medical assist, assist EMS crew",  Technology WAY ,Street or road in commercial area
1,01/11/2018 13:23:46,"Good intent call, other",200 N LBJ DR ,"Outside or special property, other"
2,01/11/2018 16:19:42,Motor vehicle accident with no injuries,2601  Rattler RD ,Street or road in commercial area
1,01/11/2018 17:03:31,"EMS call, excluding vehicle accident with injury",209 N IH 35  ,Vehicle parking area
3,01/11/2018 17:09:01,Building fire - Residential,521  Hunter Ridge RD ,1 or 2 family dwelling
1,01/11/2018 18:19:12,"Medical assist, assist EMS crew",333  Veramendi ST ,1 or 2 family dwelling
6,01/11/2018 22:41:02,"Fire, other",1701  Mill ST ,Multifamily dwellings
2,01/11/2018 23:38:36,Motor vehicle accident with no injuries,  Hunter RD ,Street or road in commercial area
1,01/12/2018 0:17:59,"Medical assist, assist EMS crew",1420  Old Ranch Road 12  ,Convenience store
1,01/12/2018 3:32:35,"Medical assist, assist EMS crew",1001 E McCarty LN ,"Hotel/motel, commercial"
2,01/12/2018 4:02:08,Fire in mobile home used as fixed residence,112  Kid Ranch LN ,1 or 2 family dwelling
1,01/12/2018 14:47:13,Power line down,1109  San Marcos PKWY ,Multifamily dwellings
1,01/12/2018 17:19:17,Motor vehicle accident with no injuries,  University DR ,Street or road in commercial area
1,01/12/2018 20:45:37,"EMS call, excluding vehicle accident with injury",1941 S IH 35  ,"Clinics, Doctors offices, hemodialysis centers"
1,01/13/2018 1:30:27,"EMS call, excluding vehicle accident with injury",345  Champions BLVD ,Multifamily dwellings
1,01/13/2018 1:34:14,"EMS call, excluding vehicle accident with injury",401 N Fredericksburg ST ,Multifamily dwellings
2,01/13/2018 8:39:52,Power line down,  Oscar Smith ST ,Street or road in commercial area
2,01/13/2018 9:01:45,Motor vehicle accident with no injuries,202  SB  ,Highway or divided highway
1,01/13/2018 11:22:32,"Good intent call, other",  Ebony ST ,"Residential street, road or residential driveway"
1,01/13/2018 14:24:41,Motor vehicle/pedestrian accident (MV Ped),350 N Guadalupe ST ,Vehicle parking area
6,01/13/2018 15:42:58,"Cooking fire, confined to container",301  Telluride ST ,1 or 2 family dwelling
1,01/13/2018 15:52:40,Vehicle accident with injuries,1015  Hwy 80  ,Vehicle parking area
1,01/13/2018 18:46:40,"EMS call, excluding vehicle accident with injury",617 N IH 35  ,Vehicle parking area
1,01/13/2018 20:43:03,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
2,01/13/2018 21:01:47,Removal of victim(s) from stalled elevator,405 N Edward Gary ST ,"Adult education center, college classroom"
1,01/13/2018 22:41:16,"EMS call, excluding vehicle accident with injury",323  Riverside DR ,1 or 2 family dwelling
1,01/13/2018 23:19:07,"EMS call, excluding vehicle accident with injury",127 E Hopkins ST ,"Food and beverage sales, grocery store"
1,01/14/2018 0:12:16,"Arcing, shorted electrical equipment",1605  Girard AVE ,"Residential street, road or residential driveway"
3,01/14/2018 6:42:48,Smoke detector activation due to malfunction,1951  Aquarena Springs DR ,Multifamily dwellings
3,01/14/2018 7:29:17,Passenger vehicle fire,201 S Suttles AVE ,Vehicle parking area
3,01/14/2018 7:29:17,Passenger vehicle fire,201 S Suttles AVE ,Vehicle parking area
2,01/14/2018 10:36:06,Sprinkler activation due to malfunction,1354  Thorpe LN ,Multifamily dwellings
1,01/14/2018 13:38:10,"Brush, or brush and grass mixture fire",2911  Rattler RD ,Open land or field
1,01/14/2018 14:37:49,Water or steam leak,1117  San Marcos PKWY ,Multifamily dwellings
2,01/14/2018 15:41:33,Motor vehicle accident with no injuries,3939 S IH 35  ,Street or road in commercial area
2,01/14/2018 16:07:45,Motor vehicle accident with no injuries,205  NB  ,Highway or divided highway
2,01/14/2018 16:47:24,Smoke detector activation due to malfunction,301  Telluride ST ,Multifamily dwellings
1,01/14/2018 16:56:18,"EMS call, excluding vehicle accident with injury",1235 W MLK DR ,Multifamily dwellings
2,01/14/2018 20:27:28,Gas leak (natural gas or LPG),1951  Aquarena Springs DR ,Multifamily dwellings
0,01/14/2018 20:46:17,"EMS call, excluding vehicle accident with injury",1740  Old Ranch Road 12  ,Multifamily dwellings
1,01/14/2018 22:29:44,Removal of victim(s) from stalled elevator,401 N Fredericksburg ST ,Multifamily dwellings
1,01/15/2018 1:35:42,"Smoke detector activation, no fire - unintentional",102  Autumn CV ,1 or 2 family dwelling
1,01/15/2018 4:14:04,"EMS call, excluding vehicle accident with injury",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,01/15/2018 8:26:57,"Medical assist, assist EMS crew",2131 N IH 35  ,"Hotel/motel, commercial"
0,01/15/2018 9:11:12,"EMS call, excluding vehicle accident with injury",300 S Stagecoach TRL ,Multifamily dwellings
2,01/15/2018 9:16:56,Passenger vehicle fire,  Wonder World DR ,Highway or divided highway
1,01/15/2018 9:30:19,"EMS call, excluding vehicle accident with injury",1908  Nevada ST ,1 or 2 family dwelling
1,01/15/2018 10:07:26,"EMS call, excluding vehicle accident with injury",737  Gravel ST ,1 or 2 family dwelling
1,01/15/2018 10:12:01,Public service,1600 N IH 35  ,Street or road in commercial area
2,01/15/2018 11:02:04,Dispatched & cancelled en route,1401 E McCarty LN ,Warehouse
2,01/15/2018 11:22:06,"EMS call, excluding vehicle accident with injury",1908  Nevada ST ,1 or 2 family dwelling
3,01/15/2018 12:00:59,Vehicle accident with injuries,208  NB  ,Highway or divided highway
1,01/15/2018 12:08:51,Public service,413  Armstrong ST ,1 or 2 family dwelling
1,01/15/2018 12:32:35,"EMS call, excluding vehicle accident with injury",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
1,01/15/2018 12:38:51,"Medical assist, assist EMS crew",  Mill ST ,Playground
1,01/15/2018 12:53:40,"EMS call, excluding vehicle accident with injury",729  Oscar Smith ST ,1 or 2 family dwelling
1,01/15/2018 16:44:20,Motor vehicle accident with no injuries,1600  Aquarena Springs DR ,Street or road in commercial area
1,01/15/2018 17:34:43,"EMS call, excluding vehicle accident with injury",1004  Hwy 123  ,Restaurant or cafeteria
6,01/15/2018 17:45:30,"Cooking fire, confined to container",400  Barnes DR ,"Manufacturing, processing"
6,01/15/2018 18:00:17,Grass fire,  Ellis ST ,Open land or field
2,01/15/2018 18:17:51,"Alarm system sounded, no fire - unintentional",210 N Edward Gary ST ,Multifamily dwellings
1,01/15/2018 19:04:46,"Smoke scare, odor of smoke",1410 N LBJ DR ,Multifamily dwellings
2,01/15/2018 21:56:41,No incident found on arrival at dispatch address,1019  Hwy 80  ,"Household goods, sales, repairs"
1,01/15/2018 23:16:10,Motor vehicle accident with no injuries, W Sessom DR ,"Street, other"
1,01/16/2018 0:19:18,"Medical assist, assist EMS crew",500  Parker DR ,1 or 2 family dwelling
1,01/16/2018 1:43:37,Heat detector activation due to malfunction,1250  Sadler DR ,Multifamily dwellings
1,01/16/2018 3:19:12,Public service,1001  Franklin DR ,1 or 2 family dwelling
1,01/16/2018 3:38:20,"EMS call, excluding vehicle accident with injury",402  Broadway ST ,1 or 2 family dwelling
2,01/16/2018 7:48:07,Vehicle accident with injuries,205  SB  ,Highway or divided highway
2,01/16/2018 8:04:29,Motor vehicle accident with no injuries,206  NB  ,Highway or divided highway
3,01/16/2018 8:29:21,Motor vehicle accident with no injuries,205  NB  ,Highway or divided highway
2,01/16/2018 8:39:55,Motor vehicle accident with no injuries,201  NB  ,Highway or divided highway
1,01/16/2018 9:02:20,Motor vehicle accident with no injuries,  EXIT 205 SB  ,Highway or divided highway
2,01/16/2018 9:06:15,Motor vehicle accident with no injuries,201  NB  ,Highway or divided highway
3,01/16/2018 9:21:11,Motor vehicle accident with no injuries,204  NB  ,Highway or divided highway
2,01/16/2018 10:16:56,Dispatched & cancelled en route,209  SB  ,Highway or divided highway
1,01/16/2018 10:48:37,Dispatched & cancelled en route,209  SB  ,Highway or divided highway
2,01/16/2018 10:49:51,Dispatched & cancelled en route,209  SB  ,Highway or divided highway
1,01/16/2018 11:06:58,Motor vehicle accident with no injuries,208  NB  ,Highway or divided highway
3,01/16/2018 11:13:42,Vehicle accident with injuries,205  SB  ,Highway or divided highway
2,01/16/2018 11:40:33,Motor vehicle accident with no injuries,208  SB  ,Highway or divided highway
1,01/16/2018 12:08:07,"Good intent call, other",205  NB  ,Highway or divided highway
2,01/16/2018 12:15:11,Assist police or other governmental agency,201  SB  ,Highway or divided highway
1,01/16/2018 12:28:05,Motor vehicle accident with no injuries,206  NB  ,Highway or divided highway
1,01/16/2018 18:42:19,"EMS call, excluding vehicle accident with injury",512  Craddock AVE ,Multifamily dwellings
2,01/16/2018 19:23:33,Assist police or other governmental agency,202  NB  ,Highway or divided highway
1,01/16/2018 19:32:42,"EMS call, excluding vehicle accident with injury",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,01/16/2018 20:17:04,"EMS call, excluding vehicle accident with injury",1348  Thorpe LN ,Multifamily dwellings
2,01/16/2018 21:36:00,"Smoke detector activation, no fire - unintentional",100  Warden LN ,Multifamily dwellings
1,01/16/2018 21:58:53,Gas leak (natural gas or LPG),215  Friendship Oak DR ,1 or 2 family dwelling
1,01/17/2018 1:49:41,Water or steam leak,1631  Aquarena Springs DR ,Multifamily dwellings
1,01/17/2018 4:43:43,"Sprinkler activation, no fire - unintentional",124  Spring RD ,"Sorority house, fraternity house"
1,01/17/2018 5:29:44,Alarm system sounded due to malfunction,1841  Airport DR ,Warehouse
1,01/17/2018 6:17:58,"EMS call, excluding vehicle accident with injury",210  Wilson ST ,1 or 2 family dwelling
1,01/17/2018 9:34:06,"EMS call, excluding vehicle accident with injury",1408  Highland DR ,1 or 2 family dwelling
1,01/17/2018 9:51:34,"EMS call, excluding vehicle accident with injury",1800  Post RD ,Multifamily dwellings
1,01/17/2018 10:31:46,"EMS call, excluding vehicle accident with injury",106  Charles Austin DR ,"Adult education center, college classroom"
0,01/17/2018 10:35:31,"EMS call, excluding vehicle accident with injury",500  Parker DR ,Multifamily dwellings
1,01/17/2018 11:50:30,"False alarm or false call, other",2301 N IH 35  ,"Manufacturing, processing"
1,01/17/2018 12:27:04,Public service,200 W Hopkins ST ,Vehicle parking area
1,01/17/2018 12:58:32,"EMS call, excluding vehicle accident with injury",1610 N IH 35  ,Multifamily dwellings
1,01/17/2018 14:07:41,"False alarm or false call, other",2005  Technology WAY ,"Manufacturing, processing"
2,01/17/2018 14:41:27,"Alarm system sounded, no fire - unintentional",5602  Central Texas DR ,"Utility, defense, agriculture, mining, other"
1,01/17/2018 18:09:24,"Medical assist, assist EMS crew",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,01/17/2018 20:44:43,Public service,813  Easton DR ,1 or 2 family dwelling
1,01/17/2018 23:47:10,Public service,1850  Aquarena Springs DR ,Multifamily dwellings
1,01/18/2018 2:48:09,Public service,1629  Post RD ,Multifamily dwellings
2,01/18/2018 7:30:03,Overheated motor,205  SB  ,Highway or divided highway
2,01/18/2018 8:47:27,"EMS call, excluding vehicle accident with injury",317 W Woods ST ,Construction site
2,01/18/2018 9:28:32,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
1,01/18/2018 11:50:25,Alarm system sounded due to malfunction,312 W Hopkins ST ,Restaurant or cafeteria
1,01/18/2018 13:40:38,"Sprinkler activation, no fire - unintentional",1180  Thorpe LN ,Amusement center: indoor/outdoor
1,01/18/2018 14:03:23,"EMS call, excluding vehicle accident with injury",  Hunter RD ,Street or road in commercial area
1,01/18/2018 14:18:06,Gas leak (natural gas or LPG),200  Springtown WAY ,Construction site
1,01/18/2018 16:17:34,Dispatched & cancelled en route,  Hwy 80  ,Highway or divided highway
1,01/18/2018 18:13:06,Motor vehicle accident with no injuries,800  Chestnut ST ,"Residential street, road or residential driveway"
1,01/18/2018 20:09:01,Vehicle accident with injuries,1004 E Access RD ,Highway or divided highway
1,01/18/2018 20:22:53,No incident found on arrival at dispatch address,100  Chaparral RD ,1 or 2 family dwelling
2,01/18/2018 22:36:45,"Smoke detector activation, no fire - unintentional",417 N Comanche ST ,Multifamily dwellings
1,01/19/2018 1:12:45,Public service,211 N Guadalupe ST ,Multifamily dwellings
1,01/19/2018 2:31:28,Public service,200  Quail Creek DR ,"Residential street, road or residential driveway"
1,01/19/2018 2:50:56,"EMS call, excluding vehicle accident with injury",525 W Hutchison ST ,Street or road in commercial area
1,01/19/2018 7:18:16,"EMS call, excluding vehicle accident with injury",501 E Hopkins ST ,Athletic/health club
1,01/19/2018 9:00:21,"EMS call, excluding vehicle accident with injury",204  Oakdale DR ,1 or 2 family dwelling
0,01/19/2018 10:37:54,"EMS call, excluding vehicle accident with injury",2301 N IH 35  ,"Professional supplies, services"
2,01/19/2018 13:00:29,"Sprinkler activation, no fire - unintentional",1942 S IH 35  ,"Manufacturing, processing"
3,01/19/2018 13:21:58,Motor vehicle accident with no injuries,205  NB  ,Highway or divided highway
2,01/19/2018 17:13:01,Motor vehicle accident with no injuries,204  NB  ,Highway or divided highway
1,01/19/2018 18:43:52,Motor vehicle accident with no injuries,  Thorpe LN ,Street or road in commercial area
1,01/19/2018 20:29:26,"EMS call, excluding vehicle accident with injury",204  Oakdale DR ,1 or 2 family dwelling
1,01/19/2018 23:23:12,Power line down,300 S C M Allen PKWY ,Street or road in commercial area
2,01/19/2018 23:39:53,Vehicle accident with injuries, E Access RD ,Highway or divided highway
1,01/20/2018 0:09:25,"Lock-in (if lock out , use 511 )",512  Craddock AVE ,Multifamily dwellings
1,01/20/2018 2:07:51,Motor vehicle/pedestrian accident (MV Ped),142 N LBJ DR ,Street or road in commercial area
2,01/20/2018 3:40:07,Motor vehicle accident with no injuries,  EXIT 206 NB  ,Highway or divided highway
2,01/20/2018 7:36:33,"Alarm system sounded, no fire - unintentional",1250 N IH 35  ,"Hotel/motel, commercial"
1,01/20/2018 9:50:58,"EMS call, excluding vehicle accident with injury",1550 N IH 35  ,Convenience store
1,01/20/2018 14:13:57,"EMS call, excluding vehicle accident with injury",1207 N IH 35  ,"Motor vehicle or boat sales, services, repair"
1,01/20/2018 14:26:06,"EMS call, excluding vehicle accident with injury",1200  Thorpe LN ,Specialty shop
2,01/20/2018 22:17:35,Vehicle accident with injuries,206  SB  ,Highway or divided highway
1,01/20/2018 23:18:10,Dispatched & cancelled en route,700  Barnes DR ,"Parking garage, general vehicle"
1,01/20/2018 23:41:59,Hazmat release investigation w/ no hazmat,300  Trestle Tree  ,1 or 2 family dwelling
1,01/21/2018 1:51:02,Vehicle accident with injuries, S LBJ DR ,Street or road in commercial area
1,01/21/2018 3:56:47,"Good intent call, other",1901 N IH 35  ,Vehicle parking area
3,01/21/2018 4:01:26,Motor vehicle accident with no injuries,210 E Access RD ,Highway or divided highway
2,01/21/2018 4:34:15,Vehicle accident with injuries,201  NB  ,Highway or divided highway
1,01/21/2018 12:34:58,Power line down,  Staples RD ,Highway or divided highway
1,01/21/2018 15:00:16,Removal of victim(s) from stalled elevator,401 N Fredericksburg ST ,Multifamily dwellings
1,01/21/2018 15:50:45,Public service,1223 W Hopkins ST ,"Residential street, road or residential driveway"
