Incident Number,Date,Time,Address,Incident Type,Completed,Reviewed
0000022 - 000,1/2/19,14:26:47,On Old Ranch Road 12  at Hughson Dr,322 - Vehicle accident with injuries,Yes,Yes
0000023 - 000,1/2/19,14:40:54,222 Parker Dr ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000024 - 000,1/2/19,14:43:18,1500 S IH 35 Rd  # W ACCESS ,322 - Vehicle accident with injuries,Yes,Yes
0000025 - 000,1/2/19,14:54:14,300 S Stagecoach Trl  # 1331 ,"320 - Emergency medical service, other",Yes,Yes
0000026 - 000,1/2/19,14:59:17,204 SB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0000027 - 000,1/2/19,16:36:04,1000 Hwy 123 ,322 - Vehicle accident with injuries,Yes,Yes
0000029 - 000,1/2/19,22:50:31,135 S Guadalupe St  # OUTSIDE ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000032 - 000,1/3/19,9:41:05,449 Lacey Oak Lp ,622 - No incident found on arrival at dispatch address,Yes,Yes
0000033 - 000,1/3/19,10:38:02,705 River Rd  # 601 ,"550 - Public service assistance, other",Yes,Yes
0000034 - 000,1/3/19,11:28:31,601 Leah Ave  # B ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000035 - 000,1/3/19,12:35:12,338 S Guadalupe St ,"600 - Good intent call, other",Yes,Yes
0000037 - 000,1/3/19,15:37:01,204 NB ,"550 - Public service assistance, other",Yes,Yes
0000038 - 000,1/3/19,18:11:34,208 S Guadalupe St ,"311 - Medical assist, assist EMS crew",Yes,Yes
0000039 - 000,1/3/19,19:41:34,1351 Sadler Dr ,622 - No incident found on arrival at dispatch address,Yes,Yes
0000040 - 000,1/3/19,20:19:32,1235 W MLK Dr  # 6 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000041 - 000,1/4/19,2:12:39,350 North St  # GARAGE ,551 - Assist police or other governmental agency,Yes,Yes
0000042 - 000,1/4/19,2:55:26,400 Linda Dr  # 12 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000043 - 000,1/4/19,9:13:38,503 Uhland Rd  # 87 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000045 - 000,1/4/19,10:12:48,209 SB ,352 - Extrication of victim(s) from vehicle,Yes,Yes
0000048 - 000,1/4/19,17:46:25,600 E Hopkins St  # Bldg 1 ,"651 - Smoke scare, odor of smoke",Yes,Yes
0000049 - 000,1/4/19,17:58:11,Jackman St ,"651 - Smoke scare, odor of smoke",Yes,Yes
0000050 - 000,1/4/19,21:40:38,143 W Hopkins St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000051 - 000,1/4/19,21:57:56,120 Bert Brown Rd ,"710 - Malicious, mischievous false call, other",Yes,Yes
0000052 - 000,1/4/19,22:07:28,204 NB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0000053 - 000,1/4/19,23:12:18,143 S LBJ Dr ,551 - Assist police or other governmental agency,Yes,Yes
0000054 - 000,1/5/19,3:01:50,W Hopkins St ,551 - Assist police or other governmental agency,Yes,Yes
0000055 - 000,1/5/19,7:48:41,108 Dolly St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000057 - 000,1/5/19,11:16:40,2050 S IH 35 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000058 - 000,1/5/19,13:44:29,1606 Lancaster St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000059 - 000,1/5/19,15:16:33,155 Wonder World Dr ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000060 - 000,1/5/19,15:22:51,1720 Old Ranch Road 12  # 105 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000061 - 000,1/5/19,15:32:09,1350 Sadler Dr  # 5202 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000062 - 000,1/5/19,16:17:17,1900 Aquarena Springs Dr  # 21101 ,"113 - Cooking fire, confined to container",Yes,Yes
0000063 - 000,1/5/19,17:20:54,1424 Andra Ln ,111R - Building fire - Residential,Yes,Yes
0000064 - 000,1/5/19,19:06:57,310 Magnolia Dr ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000065 - 000,1/5/19,23:43:16,1100 Patton St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000066 - 000,1/5/19,23:56:07,300 S Stagecoach Trl  # 1231 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000067 - 000,1/6/19,3:08:53,On River Rd  at RR Trestle ,611 - Dispatched & cancelled en route,Yes,Yes
0000068 - 000,1/6/19,3:12:22,On River Rd  at RR Trestle ,324 - Motor vehicle accident with no injuries,Yes,Yes
0000069 - 000,1/6/19,3:28:44,On E Hopkins St  at N LBJ Dr ,412 - Gas leak (natural gas or LPG),Yes,Yes
0000070 - 000,1/6/19,3:44:58,1805 N IH 35  # 17E ,611 - Dispatched & cancelled en route,Yes,Yes
0000071 - 000,1/6/19,4:21:47,1805 N IH 35  # 20E ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000072 - 000,1/6/19,5:39:17,1351 Sadler Dr  # 105B ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000073 - 000,1/6/19,8:29:15,1401 Wonder World Dr  # 25 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000074 - 000,1/6/19,9:27:05,1001 Hwy 123 ,721 - Bomb scare - no bomb,Yes,Yes
0000075 - 000,1/6/19,10:09:39,1200 S IH 35 ,322 - Vehicle accident with injuries,Yes,Yes
0000076 - 000,1/6/19,11:18:17,1600 N IH 35  # 213B ,"311 - Medical assist, assist EMS crew",Yes,Yes
0000077 - 000,1/6/19,13:09:55,900 Hwy 80 ,"600 - Good intent call, other",Yes,Yes
0000078 - 000,1/6/19,14:42:13,300 S Stagecoach Trl  # 1122 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000079 - 000,1/6/19,16:59:44,114 E Hutchison St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000080 - 000,1/6/19,17:24:32,1800 Post Rd  # 1437 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0000081 - 000,1/6/19,18:48:51,1518 Old Ranch Road 12  # 907 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000082 - 000,1/6/19,20:58:58,708 Allen St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000083 - 000,1/6/19,21:12:53,221 Newberry Trl ,"311 - Medical assist, assist EMS crew",Yes,Yes
0000084 - 000,1/7/19,3:29:04,1354 Thorpe Ln  # 1301 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000085 - 000,1/7/19,6:09:18,1720 Old Ranch Road 12  # 201 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000087 - 000,1/7/19,10:14:50,650 River Rd  # 10204 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000089 - 000,1/7/19,12:38:04,1401 E McCarty Ln  # 22SOUTH ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0000090 - 000,1/7/19,15:45:54,200 W Hopkins St ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0000091 - 000,1/7/19,16:31:54,1002 Hwy 80 ,411 - Gasoline or other flammable liquid spill,Yes,Yes
0000092 - 000,1/7/19,17:32:29,700 N LBJ Dr ,412 - Gas leak (natural gas or LPG),Yes,Yes
0000093 - 000,1/7/19,17:37:11,River Rd ,622 - No incident found on arrival at dispatch address,Yes,Yes
0000094 - 000,1/7/19,18:58:53,301 Ellis St ,"311 - Medical assist, assist EMS crew",Yes,Yes
0000095 - 000,1/7/19,19:00:51,EXIT 206 SB ,551 - Assist police or other governmental agency,Yes,Yes
0000096 - 000,1/7/19,20:39:58,338 S Guadalupe St ,"311 - Medical assist, assist EMS crew",Yes,Yes
0000097 - 000,1/7/19,22:04:24,1629 Post Rd  # BLDG5 ,735 - Alarm system sounded due to malfunction,Yes,Yes
0000098 - 000,1/8/19,11:16:47,650 River Rd  # 4208 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000099 - 000,1/8/19,12:41:41,220 Knox St ,"311 - Medical assist, assist EMS crew",Yes,Yes
0000103 - 000,1/8/19,13:54:10,On Wonder World Dr  at E Access R d,324 - Motor vehicle accident with no injuries,Yes,Yes
0000104 - 000,1/8/19,14:55:31,On W Access Rd  at Aquarena Springs Dr,"200 - Overpressure rupture, explosion, overheat other",Yes,Yes
0000105 - 000,1/8/19,16:42:04,2490 N IH 35 ,322 - Vehicle accident with injuries,Yes,Yes
0000106 - 000,1/8/19,17:34:12,300 Cheatham St ,622 - No incident found on arrival at dispatch address,Yes,Yes
0000107 - 000,1/8/19,17:46:57,224 N Guadalupe St ,553 - Public service,Yes,Yes
0000110 - 000,1/8/19,20:12:28,503 Uhland Rd  # 1 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000111 - 000,1/8/19,21:25:11,817 Chestnut St  # 342 A ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0000112 - 000,1/8/19,21:27:28,300 S Stagecoach Trl  # 1331 ,"320 - Emergency medical service, other",Yes,Yes
0000113 - 000,1/9/19,3:50:19,1606 N IH 35  # 88 ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0000114 - 000,1/9/19,8:44:17,1951 Aquarena Springs Dr  # 11104 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000115 - 000,1/9/19,11:54:56,305 Parker Dr ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0000116 - 000,1/9/19,14:29:08,E McCarty Ln ,322 - Vehicle accident with injuries,Yes,Yes
0000117 - 000,1/9/19,15:26:06,206 SB ,551 - Assist police or other governmental agency,Yes,Yes
0000118 - 000,1/9/19,18:15:13,1941 S IH 35  # 107 ,611 - Dispatched & cancelled en route,Yes,Yes
0000119 - 000,1/9/19,19:28:06,441 Bridlewood Dr ,121 - Fire in mobile home used as fixed residence,Yes,Yes
0000120 - 000,1/9/19,21:48:26,2211 S IH 35 ,"745 - Alarm system sounded, no fire - unintentional",Yes,Yes
0000121 - 000,1/10/19,0:18:15,1610 N IH 35  # 215 ,"743 - Smoke detector activation, no fire - unintentional",Yes,Yes
0000122 - 000,1/10/19,1:40:31,121 Craddock Ave  # 1114 ,611 - Dispatched & cancelled en route,Yes,Yes
0000123 - 000,1/10/19,4:34:21,600 Leah Ave  # 905 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000124 - 000,1/10/19,8:08:35,2500 Hunter Rd ,611 - Dispatched & cancelled en route,Yes,Yes
0000125 - 000,1/10/19,8:49:18,Wonder World Dr ,324 - Motor vehicle accident with no injuries,Yes,Yes
0000126 - 000,1/10/19,9:08:56,601 S C M Allen Pkwy  # PAV C ,552 - Police matter,Yes,Yes
0000127 - 000,1/10/19,10:32:46,1401 E McCarty Ln ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0000128 - 000,1/10/19,11:23:57,2211 S IH 35 ,"745 - Alarm system sounded, no fire - unintentional",Yes,Yes
0000129 - 000,1/10/19,12:10:28,1720 Old Ranch Road 12 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000130 - 000,1/10/19,12:14:11,3700 Hwy 123 ,671 - Hazmat release investigation w/ no hazmat,Yes,Yes
0000131 - 000,1/10/19,13:29:59,551 Harvey St  # B ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0000132 - 000,1/10/19,18:40:15,3751 Trail Ridge Pass ,721 - Bomb scare - no bomb,Yes,Yes
0000133 - 000,1/10/19,19:11:04,1200 Hwy 80 ,"160 - Special outside fire, other",Yes,Yes
0000134 - 000,1/10/19,23:12:28,1350 Sadler Dr  # 5202 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000135 - 000,1/11/19,2:09:16,1112 Faris St  # F1 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0000136 - 000,1/11/19,13:19:31,Lockhart St ,444 - Power line down,Yes,Yes
0000137 - 000,1/11/19,14:35:04,2 Timbercrest ,"311 - Medical assist, assist EMS crew",Yes,Yes
0000138 - 000,1/11/19,18:01:23,638 Mill St  # A ,"651 - Smoke scare, odor of smoke",Yes,Yes
0000139 - 000,1/11/19,18:19:01,79 Elm Hill Ct ,"311 - Medical assist, assist EMS crew",Yes,Yes
0000140 - 000,1/11/19,18:21:32,1321 N IH 35  # 152 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000141 - 000,1/11/19,20:43:29,1301 Wonder World Dr  # 501 ,"745 - Alarm system sounded, no fire - unintentional",Yes,Yes
0000142 - 000,1/11/19,21:21:48,1240 W San Antonio St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000143 - 000,1/11/19,21:32:43,638 Mill St  # A ,"651 - Smoke scare, odor of smoke",Yes,Yes
0000144 - 000,1/11/19,22:34:29,917 N IH 35 ,"700 - False alarm or false call, other",Yes,Yes
0000145 - 000,1/11/19,23:43:29,1920 Los Santos Dr ,"311 - Medical assist, assist EMS crew",Yes,Yes
0000146 - 000,1/12/19,7:42:10,1800 Post Rd  # 1511 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000147 - 000,1/12/19,10:55:48,550 Barnes Dr ,611 - Dispatched & cancelled en route,Yes,Yes
0000148 - 000,1/12/19,12:25:17,1805 N IH 35  # BLDG 23 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000149 - 000,1/12/19,12:51:51,1600 N IH 35 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000151 - 000,1/12/19,14:48:36,1800 River Rd ,552 - Police matter,Yes,Yes
0000152 - 000,1/12/19,16:21:03,On Hwy 123  at Monterrey Oak ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000153 - 000,1/12/19,17:20:00,917 N IH 35 ,611 - Dispatched & cancelled en route,Yes,Yes
0000155 - 000,1/12/19,17:22:12,204 NB ,322 - Vehicle accident with injuries,Yes,Yes
0000156 - 000,1/12/19,17:32:02,202 NB ,322 - Vehicle accident with injuries,Yes,Yes
0000157 - 000,1/12/19,18:44:51,1600 N IH 35  # 211A ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000158 - 000,1/12/19,18:52:41,401 Carlson Cir ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000159 - 000,1/12/19,19:56:34,100 N IH 35 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000160 - 000,1/12/19,21:53:40,1301 Wonder World Dr ,611 - Dispatched & cancelled en route,Yes,Yes
0000161 - 000,1/12/19,22:24:58,1314 Academy St ,"571 - Cover assignment, standby, moveup",Yes,Yes
0000162 - 000,1/12/19,23:45:28,1903 Castle Gate Cir ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000163 - 000,1/13/19,3:03:11,On Post Rd  at Champions Blvd ,322 - Vehicle accident with injuries,Yes,Yes
0000164 - 000,1/13/19,10:08:24,213 South Fork Rd ,611 - Dispatched & cancelled en route,Yes,Yes
0000165 - 000,1/13/19,11:20:19,120 Bert Brown Rd ,611 - Dispatched & cancelled en route,Yes,Yes
0000166 - 000,1/13/19,13:51:43,389 Mary Max Cir ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000167 - 000,1/13/19,14:26:01,2220 Garden Ct ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000168 - 000,1/13/19,14:32:44,214 Capistrano Dr ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0000169 - 000,1/13/19,18:16:59,1805 N IH 35  # 23C ,542 - Animal rescue,Yes,Yes
0000170 - 000,1/13/19,18:45:25,132 Bogie Dr ,"651 - Smoke scare, odor of smoke",Yes,Yes
0000171 - 000,1/13/19,21:10:04,214 Palermo Dr ,561 - Unauthorized burning,Yes,Yes
0000172 - 000,1/14/19,1:55:27,4015 S Ih 35  # 150 ,735 - Alarm system sounded due to malfunction,Yes,Yes
0000173 - 000,1/14/19,2:54:56,1001 Leah Ave  # 611 ,"651 - Smoke scare, odor of smoke",Yes,Yes
0000174 - 000,1/14/19,6:09:38,1720 Old Ranch Road 12  # 224 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000175 - 000,1/14/19,8:21:58,3936 S IH 35 ,411 - Gasoline or other flammable liquid spill,Yes,Yes
0000176 - 000,1/14/19,9:52:26,1401 E McCarty Ln  # 22SOUTH ,611 - Dispatched & cancelled en route,Yes,Yes
0000177 - 000,1/14/19,10:22:39,McKinley Place Dr  # 100 ,322 - Vehicle accident with injuries,Yes,Yes
0000178 - 000,1/14/19,12:48:42,118 N Bishop St ,"311 - Medical assist, assist EMS crew",Yes,Yes
0000179 - 000,1/14/19,13:53:41,1301 Hwy 123 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000180 - 000,1/14/19,15:20:00,808 Dale Dr ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000181 - 000,1/14/19,17:38:14,372 Silver Peak Dr ,611 - Dispatched & cancelled en route,Yes,Yes
0000183 - 000,1/14/19,22:18:26,1509 N IH 35 ,"745 - Alarm system sounded, no fire - unintentional",Yes,Yes
0000184 - 000,1/14/19,23:16:55,737 Gravel St ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0000185 - 000,1/15/19,11:05:30,1340 Wonder World Dr  # 4100 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000186 - 000,1/15/19,12:22:31,1307 Uhland Rd ,"700 - False alarm or false call, other",Yes,Yes
0000187 - 000,1/15/19,12:39:20,512 Craddock Ave  # 2011 ,611 - Dispatched & cancelled en route,Yes,Yes
0000189 - 000,1/15/19,14:05:08,1015 Hwy 80 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000190 - 000,1/15/19,19:16:52,2101 River Rd ,"160 - Special outside fire, other",Yes,Yes
0000191 - 000,1/15/19,21:29:13,1350 Sadler Dr  # 9101 ,551 - Assist police or other governmental agency,Yes,Yes
0000192 - 000,1/16/19,8:54:30,608 Bracewood Cir  # A ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000193 - 000,1/16/19,12:28:59,300 Stagecoach Trl  # 3127 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000194 - 000,1/16/19,17:29:57,1340 Wonder World Dr  # 4100 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000195 - 000,1/16/19,20:57:53,409 S LBJ Dr ,412 - Gas leak (natural gas or LPG),Yes,Yes
0000197 - 000,1/16/19,21:17:53,1405 W Hopkins St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000198 - 000,1/17/19,4:33:43,1900 Medical Pkwy ,"715 - Local alarm system, malicious false alarm",Yes,Yes
0000199 - 000,1/17/19,6:15:00,100 W Woods St ,611 - Dispatched & cancelled en route,Yes,Yes
0000200 - 000,1/17/19,6:37:58,451 Barnes Dr  # 308 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000201 - 000,1/17/19,7:43:03,2028 Meadow View Dr ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000202 - 000,1/17/19,9:31:58,701 Bracewood Cir  # B ,"311 - Medical assist, assist EMS crew",Yes,Yes
0000203 - 000,1/17/19,10:04:49,1104 Thorpe Ln  # 130 ,"745 - Alarm system sounded, no fire - unintentional",Yes,Yes
0000204 - 000,1/17/19,11:08:42,501 E Hopkins St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000205 - 000,1/17/19,11:44:54,1325 Marlton St  # B ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000206 - 000,1/17/19,12:10:38,On Wonder World Dr  at Stagecoach Trl,324 - Motor vehicle accident with no injuries,Yes,Yes
0000207 - 000,1/17/19,12:21:09,On Hughson Dr  at Old Ranch Road 12,611 - Dispatched & cancelled en route,Yes,Yes
0000208 - 000,1/17/19,13:25:29,2601 Rattler Rd ,"740 - Unintentional transmission of alarm, other",Yes,Yes
0000209 - 000,1/17/19,13:39:24,201 NB ,551 - Assist police or other governmental agency,Yes,Yes
0000210 - 000,1/17/19,13:47:09,500 Parker Dr  # 2617 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000211 - 000,1/17/19,13:55:22,1804 Hunter Rd  # A ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000212 - 000,1/17/19,14:24:48,512 Craddock Ave  # 1851 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000213 - 000,1/17/19,14:36:19,2586 S IH 35 ,324 - Motor vehicle accident with no injuries,Yes,Yes
0000214 - 000,1/17/19,15:48:53,1354 Thorpe Ln  # 4106 ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0000215 - 000,1/17/19,17:53:00,1314 Academy St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000216 - 000,1/17/19,18:37:40,1140 Hilltop Dr ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000217 - 000,1/17/19,18:47:51,1401 Wonder World Dr  # 310 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000218 - 000,1/17/19,19:38:14,600 Leah Ave  # 1504 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000219 - 000,1/17/19,20:12:44,4060 S IH 35  # PLOT ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000220 - 000,1/17/19,20:29:44,202 NB ,552 - Police matter,Yes,Yes
0000221 - 000,1/17/19,21:58:05,308 Laredo St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000222 - 000,1/18/19,8:06:42,1001 E McCarty Ln ,"745 - Alarm system sounded, no fire - unintentional",Yes,Yes
0000224 - 000,1/18/19,8:57:04,1800 Post Rd  # 833 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000225 - 000,1/18/19,9:06:04,300 S Stagecoach Trl  # 1307 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000226 - 000,1/18/19,10:09:59,4200 S IH 35 S ,"745 - Alarm system sounded, no fire - unintentional",Yes,Yes
0000228 - 000,1/18/19,10:49:51,4200 S IH 35 ,"745 - Alarm system sounded, no fire - unintentional",Yes,Yes
0000229 - 000,1/18/19,13:23:42,600 Leah Ave  # 905 ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0000230 - 000,1/18/19,13:40:08,1702 S IH 35 ,324 - Motor vehicle accident with no injuries,Yes,Yes
0000231 - 000,1/18/19,13:54:37,1250 Wonder World Dr ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000232 - 000,1/18/19,13:57:22,1754 River Rd  # 211 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0000233 - 000,1/18/19,14:12:19,1900 Aquarena Springs Dr  # 11103 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0000234 - 000,1/18/19,14:36:06,E Sessom Dr ,611 - Dispatched & cancelled en route,Yes,Yes
0000235 - 000,1/18/19,15:23:25,1701 River Rd  # 15 ,"440 - Electrical  wiring/equipment problem, other",Yes,Yes
0000236 - 000,1/18/19,16:06:59,641 E Hopkins St  # Bldg 1 ,131 - Passenger vehicle fire,Yes,Yes
0000237 - 000,1/18/19,16:26:24,155 Friendship Oak Dr ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000238 - 000,1/18/19,16:47:01,1304 Hwy 123 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000240 - 000,1/18/19,17:03:17,W McCarty Ln ,324 - Motor vehicle accident with no injuries,Yes,Yes
0000241 - 000,1/18/19,17:54:47,208 NB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0000242 - 000,1/18/19,18:32:52,1818 Old Ranch Road 12  # 624 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000243 - 000,1/18/19,18:57:50,600 E Hopkins St ,324 - Motor vehicle accident with no injuries,Yes,Yes
0000244 - 000,1/18/19,19:50:51,400 Barnes Dr ,"114 - Chimney or flue fire, confined to chimney or flue",Yes,Yes
0000245 - 000,1/19/19,3:25:31,1108 W Access Rd ,324 - Motor vehicle accident with no injuries,Yes,Yes
0000246 - 000,1/19/19,5:10:37,210 SB ,611 - Dispatched & cancelled en route,Yes,Yes
0000247 - 000,1/19/19,5:23:42,315 Riverside Dr ,"445 - Arcing, shorted electrical equipment",Yes,Yes
0000248 - 000,1/19/19,5:35:45,1420 Schulle Dr ,622 - No incident found on arrival at dispatch address,Yes,Yes
0000251 - 000,1/19/19,10:58:49,746 Easton Dr ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000252 - 000,1/19/19,12:58:10,1207 McAllister St ,162 - Outside equipment fire,Yes,Yes
0000254 - 000,1/19/19,13:28:12,114 N Bishop St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000255 - 000,1/19/19,14:52:47,1754 River Rd  # 211 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000256 - 000,1/19/19,16:03:09,300 S Stagecoach Trl  # 1224 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
