"","Incident_Nr","TimeReported","Activity","Disposition","Officer","Location"
"27",200000000050,"1/1/2020  2:17:30 AM","Disturbance - Verbal","No Report","Murphy, Logan","1980 Aquarena Springs Dr"
"28",200000000051,"1/1/2020  2:17:31 AM","Disturbance - Verbal","Arrest","Blackwood, Kevin","216 E Hopkins St"
"29",200000000053,"1/1/2020  2:23:05 AM","Information","No Report","","2300 S IH 35"
"30",200000000056,"1/1/2020  2:27:41 AM","Disturbance - Phys/Fight","No Report","Osborne, Joseph","1301 Wonder World Dr"
"31",200000000057,"1/1/2020  2:32:39 AM","Assault","Report","Seals, Bradley","133 W San Antonio St"
"32",200000000058,"1/1/2020  2:33:13 AM","Accident - Minor","No Report","Morenz, Darby","Del Sol Dr/E Access Rd"
"33",200000000060,"1/1/2020  2:35:15 AM","Suspicious Person","Unfounded","Morenz, Darby","421 W San Antonio St"
"34",200000000065,"1/1/2020  2:45:41 AM","Welfare Concern","No Report","Morenz, Darby","126 S Guadalupe St"
"35",200000000067,"1/1/2020  2:46:06 AM","Disturbance - Phys/Fight","No Report","Tureaud, Benjamin","201 Telluride St"
"36",200000000068,"1/1/2020  2:48:33 AM","Investigation","No Report","Murphy, Logan","1113 N IH 35"
"37",200000000069,"1/1/2020  2:52:04 AM","Assault","Arrest","Tureaud, Benjamin","100 W Hopkins St"
"38",200000000070,"1/1/2020  3:07:18 AM","Information","No Report","","2300 S IH 35"
"39",200000000071,"1/1/2020  3:09:06 AM","Welfare Concern","No Report","Murphy, Logan","W Hutchison St/Mary St"
"40",200000000073,"1/1/2020  3:20:23 AM","Disturbance - Noise","No Report","Tureaud, Benjamin","421 W San Antonio St"
"41",200000000074,"1/1/2020  3:20:51 AM","Disturbance - Phys/Fight","Report","Murphy, Logan","1006 Faris St"
"42",200000000075,"1/1/2020  3:21:20 AM","Disturbance - Phys/Fight","Ignore","","1006 Faris St"
"43",200000000076,"1/1/2020  3:27:11 AM","Attempt to Locate","Arrest","Morenz, Darby","208 SB"
"44",200000000077,"1/1/2020  3:45:00 AM","Welfare Concern","No Report","Mueller, Justin","1004 Hwy 123"
"45",200000000078,"1/1/2020  4:04:40 AM","Disturbance - Verbal","Arrest","Bennett, Caitlyn","1101 E River Ridge Pkwy"
"46",200000000079,"1/1/2020  4:06:05 AM","Disturbance - Noise","Verbal Warning","Daenzer, Matthew","1418 Harper Dr"
"47",200000000080,"1/1/2020  4:10:11 AM","Suspicious Person","No Report","","109 West Ave"
"48",200000000082,"1/1/2020  4:17:12 AM","Assist Outside Agency","Report","Murphy, Logan","204 E Access Rd"
"49",200000000085,"1/1/2020  4:48:06 AM","Information","No Report","","2300 S IH 35"
"50",200000000086,"1/1/2020  5:03:11 AM","Suspicious Vehicle","No Report","Tureaud, Benjamin","1101 E River Ridge Pkwy"
"51",200000000087,"1/1/2020  5:16:01 AM","Disturbance - Verbal","No Report","Alvarado, Manuel","105 Chico St"
"52",200000000088,"1/1/2020  6:11:08 AM","Disturbance - Phys/Fight","Report","Foster, Norman","2003 Lisa Ln"
"53",200000000090,"1/1/2020  7:43:20 AM","Death Investigation","No Report","","810 Mountain View Dr"
"54",200000000091,"1/1/2020  7:43:52 AM","Suspicious Vehicle","No Report","Taylor, Michael","109 West Ave"
"55",200000000093,"1/1/2020  8:30:42 AM","Public Intoxication","Arrest","Marroquin, Christopher","1023 Hwy 80"
"56",200000000099,"1/1/2020  9:19:28 AM","Supplement","No Report","Foster, Norman","2300 S IH 35"
"57",200000000101,"1/1/2020  9:29:42 AM","Unexploded Ordinance","No Report","Foster, Norman","2300 S IH 35"
"58",200000000103,"1/1/2020  9:49:18 AM","Trespassing/Unwanted","No Report","Marroquin, Christopher","930 N IH 35"
"59",200000000104,"1/1/2020  10:01:05 AM","Attempt to Locate","No Report","","205 SB"
"60",200000000106,"1/1/2020  10:15:30 AM","Accident - Hit and Run","Refer To COPR","Marroquin, Christopher","765 Clearview Cir"
"61",200000000110,"1/1/2020  10:54:44 AM","Attempt to Locate","No Report","Foster, Norman","204 NB"
"62",200000000112,"1/1/2020  10:55:59 AM","Abduction/Kidnapping","No Report","","910 N IH 35"
"63",200000000113,"1/1/2020  11:01:48 AM","Disturbance - Verbal","Arrest","Taylor, Michael","1350 N LBJ Dr"
"64",200000000114,"1/1/2020  11:16:20 AM","Animal Call","No Report","","221 Newberry Trl"
"65",200000000115,"1/1/2020  11:17:42 AM","Harassment","Cancelled","","103 Rogers Rdg"
"66",200000000116,"1/1/2020  11:35:21 AM","Accident - Major/Injury","Report","Taylor, Michael","E Hopkins St/Cheatham St"
"67",200000000117,"1/1/2020  11:46:01 AM","Assist Animal Control","No Report","Allen, Ashley","233 Newberry Trl"
"68",200000000118,"1/1/2020  12:06:57 PM","Sexual Assault - Child","Ref Oth Agncy","Bradshaw, Ed","1500blk S IH 35"
"69",200000000119,"1/1/2020  12:09:31 PM","Animal Call","No Report","","917 N IH 35"
"70",200000000121,"1/1/2020  12:18:19 PM","Attempt to Locate","No Report","","202 SB"
"71",200000000123,"1/1/2020  12:28:34 PM","Criminal Mischief","No Report","Taylor, Michael","1805 N IH 35"
"72",200000000129,"1/1/2020  1:24:28 PM","Supplement","No Report","Marroquin, Christopher","111 Azolar Dr"
"73",200000000133,"1/1/2020  1:56:30 PM","Disturbance - Verbal","No Report","Stephens, Paul","1534 W Hopkins St"
"74",200000000134,"1/1/2020  1:59:06 PM","Assist Outside Agency","No Report","Foster, Norman","1502 S IH 35"
"75",200000000135,"1/1/2020  2:16:26 PM","Information","No Report","","2300 S IH 35"
"76",200000000136,"1/1/2020  2:23:16 PM","Attempt to Locate","No Report","","208 SB"
"77",200000000137,"1/1/2020  2:28:02 PM","Suspicious Vehicle","No Report","Taylor, Michael","625 E Hopkins St"
"78",200000000141,"1/1/2020  3:20:50 PM","Mental Health Invest","Report","Foster, Norman","500blk S Guadalupe St"
"79",200000000142,"1/1/2020  3:43:48 PM","Suspicious Person","No Contact","Marroquin, Christopher","1350 Leah Ave"
"80",200000000144,"1/1/2020  4:14:16 PM","Criminal Mischief","Report","Contreras, Ysidro","919 Belvin St"
"81",200000000145,"1/1/2020  4:30:23 PM","Attempt to Locate","Ref Oth Agncy","","200 SB"
"82",200000000146,"1/1/2020  4:30:24 PM","Suspicious Circumstances","No Report","Morenz, Darby","1015 Hwy 80"
"83",200000000148,"1/1/2020  5:35:46 PM","Accident - Unknown","Report","Seals, Bradley","W De Zavala Dr/Hwy 123"
"84",200000000152,"1/1/2020  6:27:15 PM","Fireworks","No Report","Poorboy, Duwayne","1415 Craddock Ave"
"85",200000000153,"1/1/2020  6:29:17 PM","Trespassing/Unwanted","No Report","Williams, Jack","1400 Clarewood Dr"
"86",200000000157,"1/1/2020  6:49:32 PM","Attempt to Locate","No Contact","","206 SB"
"87",200000000159,"1/1/2020  7:06:18 PM","Supplement","No Report","Seals, Bradley","1301 Wonder World Dr"
"88",200000000161,"1/1/2020  7:39:03 PM","Disturbance - Verbal","Citation Issued","Morenz, Darby","1360 Thorpe Ln"
"89",200000000163,"1/1/2020  7:46:01 PM","Disturbance - Noise","Unfounded","Melendrez, Jacinto","200 Robbie Ln"
"90",200000000166,"1/1/2020  7:55:18 PM","Theft","Refer To COPR","Seals, Bradley","4015 S IH 35"
"91",200000000170,"1/1/2020  8:41:13 PM","Fireworks","No Report","Seals, Bradley","Werner Dr/Lance Trl"
"92",200000000177,"1/1/2020  9:13:42 PM","Suspicious Person","No Report","Melendrez, Jacinto","641 E Hopkins St"
"93",200000000195,"1/1/2020  10:53:26 PM","Alarm - Vehicle","False Alarm","Loring, Elizabeth","2990 S IH 35"
"94",200000000203,"1/1/2020  11:40:27 PM","Assist Outside Agency","Cancelled","","W Access Rd/River Ridge Pkwy"
"95",200000000204,"1/1/2020  11:46:47 PM","Investigation","No Report","Williamson, Jamie","650 River Rd"
"96",200000000205,"1/1/2020  11:49:30 PM","Missing Person","No Report","Dehkordi, John","1701 Mill St"
"97",200000000208,"1/2/2020  12:44:51 AM","Suspicious Person","No Report","Loring, Elizabeth","Aquarena Springs Dr/W Access Rd"
"98",200000000217,"1/2/2020  1:14:08 AM","Disturbance - Noise","Verbal Warning","Williamson, Jamie","221 Tampico St"
"99",200000000222,"1/2/2020  1:51:27 AM","Assist Outside Agency","No Report","Williamson, Jamie","934 N IH 35"
"100",200000000226,"1/2/2020  2:27:28 AM","Disturbance - Noise","Verbal Warning","Morenz, Darby","1655 Mill St"
"101",200000000228,"1/2/2020  2:46:14 AM","Suspicious Vehicle","No Report","Crook, Daniel","550 Barnes Dr"
"102",200000000229,"1/2/2020  2:46:15 AM","Suspicious Vehicle","No Report","Putnam, Justin","900blk Stampede Rd"
"103",200000000231,"1/2/2020  3:09:22 AM","Animal Call","Arrest","Williamson, Jamie","1850 Aquarena Springs Dr"
"104",200000000233,"1/2/2020  3:12:44 AM","Suspicious Vehicle","Multiple Arrest","Loring, Elizabeth","1213 Hwy 80"
"105",200000000238,"1/2/2020  6:13:30 AM","Suspicious Circumstances","No Report","Taylor, Michael","101 Uhland Rd"
"106",200000000243,"1/2/2020  8:02:57 AM","Investigation","No Report","Marroquin, Christopher","1201 Hwy 80"
"107",200000000244,"1/2/2020  8:19:43 AM","Suspicious Circumstances","No Report","Taylor, Michael","228 Trestle Tree"
"108",200000000247,"1/2/2020  8:45:45 AM","Animal Call","Ref Oth Agncy","","307 Tampico St"
"109",200000000252,"1/2/2020  9:47:25 AM","Burglary - Vehicle","No Report","Bradshaw, Ed","1620 S IH 35"
"110",200000000253,"1/2/2020  10:02:04 AM","Suspicious Vehicle","No Report","Allen, Ashley","706 Barbara Dr"
"111",200000000258,"1/2/2020  10:33:31 AM","Suspicious Person","No Report","Taylor, Michael","1101 Davis Ln"
"112",200000000261,"1/2/2020  10:38:27 AM","Burglary - Vehicle","No Report","Crum, Tyler","1011 Wonder World Dr"
"113",200000000263,"1/2/2020  11:07:37 AM","Disturbance - Noise","Unfounded","Foster, Norman","1350 N LBJ Dr"
"114",200000000264,"1/2/2020  11:09:35 AM","Criminal Mischief","No Report","Taylor, Michael","1701 Mill St"
"115",200000000265,"1/2/2020  11:13:08 AM","Attempt to Locate","No Contact","Marroquin, Christopher","206 NB"
"116",200000000266,"1/2/2020  11:17:11 AM","Disturbance - Verbal","No Report","Marroquin, Christopher","929 Hwy 80"
"117",200000000272,"1/2/2020  11:55:49 AM","Attempt to Locate","No Report","","101 E MLK Dr"
"118",200000000275,"1/2/2020  12:23:58 PM","Suspicious Vehicle","No Report","Marroquin, Christopher","1200blk Centerpoint Rd"
"119",200000000281,"1/2/2020  12:57:13 PM","Supplement","No Report","Stephens, Paul","2300 S IH 35"
"120",200000000283,"1/2/2020  1:26:44 PM","Welfare Concern","Cancelled","","1980 Aquarena Springs Dr"
"121",200000000287,"1/2/2020  1:43:58 PM","Theft","No Report","Foster, Norman","641 E Hopkins St"
"122",200000000288,"1/2/2020  1:45:44 PM","Accident - Hit and Run","Blue Form Issue","Stephens, Paul","Wonder World Dr/W Access Rd"
"123",200000000290,"1/2/2020  2:08:25 PM","Attempt to Locate","Unfounded","","204 SB"
"124",200000000293,"1/2/2020  2:23:28 PM","Threat","No Report","Stephens, Paul","2300 S IH 35"
"125",200000000296,"1/2/2020  2:38:35 PM","Narcotics/Information","No Report","Marroquin, Christopher","1304 Hwy 123"
"126",200000000298,"1/2/2020  2:46:35 PM","Welfare Concern","No Report","Lee, Don","2913 Hunter Rd"
"127",200000000299,"1/2/2020  2:53:41 PM","Supplement","No Report","Stephens, Paul","2300 S IH 35"
"128",200000000300,"1/2/2020  3:20:43 PM","Trespassing/Unwanted","Warning","Taylor, Michael","1360 Thorpe Ln"
"129",200000000301,"1/2/2020  3:39:31 PM","Welfare Concern","No Report","Taylor, Michael","901 Hwy 80"
"130",200000000303,"1/2/2020  4:23:47 PM","Public Assist","No Report","Williams, Jack","1015 Hwy 80"
"131",200000000304,"1/2/2020  4:24:57 PM","Burglary - Habitation","No Report","Greenwood, Amy","243 Rush Haven"
"132",200000000305,"1/2/2020  4:25:35 PM","Investigation","No Report","Putnam, Justin","712 S Stagecoach Trl"
"133",200000000306,"1/2/2020  4:37:23 PM","Disturbance - Verbal","No Report","Marroquin, Christopher","3939 S IH 35"
"134",200000000308,"1/2/2020  5:00:28 PM","Assist Outside Agency","No Report","Cope, John","210 SB"
"135",200000000309,"1/2/2020  5:06:44 PM","Attempt to Locate","No Contact","Mueller, Justin","1523 Old Ranch Road 12"
"136",200000000310,"1/2/2020  5:07:38 PM","Investigation","No Report","Cope, John","1307 Uhland Rd"
"137",200000000316,"1/2/2020  6:06:38 PM","Theft","Report","Greenwood, Amy","1515 Aquarena Springs Dr"
"138",200000000317,"1/2/2020  6:13:24 PM","Suspicious Vehicle","No Report","Contreras, Ysidro","164 Charles Austin Dr"
"139",200000000318,"1/2/2020  6:14:31 PM","Accident - Major/Injury","Report","Putnam, Justin","Hunter Rd/W McCarty Ln"
"140",200000000322,"1/2/2020  6:31:24 PM","Alarm - Vehicle","No Report","Cope, John","E Hutchison St/N Edward Gary St"
"141",200000000327,"1/2/2020  7:10:17 PM","Theft","No Report","Williams, Jack","1012 Conway Dr"
"142",200000000329,"1/2/2020  7:15:36 PM","Attempt to Locate","No Report","","200 SB"
"143",200000000330,"1/2/2020  7:16:22 PM","Accident - Hit and Run","No Report","Contreras, Ysidro","503 Springtown Way"
"144",200000000331,"1/2/2020  7:17:44 PM","Attempt to Locate","No Report","","208 SB"
"145",200000000332,"1/2/2020  7:24:49 PM","Investigation","No Report","Tennant, Casey","2300 S IH 35"
"146",200000000333,"1/2/2020  7:57:01 PM","Investigation","No Report","Tennant, Casey","1213 Hwy 80"
"147",200000000336,"1/2/2020  8:15:25 PM","Attempt to Locate","No Report","","202 NB"
"148",200000000341,"1/2/2020  8:42:44 PM","Death Investigation","No Report","","1351 Sadler Dr"
"149",200000000345,"1/2/2020  9:08:53 PM","Death Investigation","No Report","","1600 N IH 35"
"150",200000000347,"1/2/2020  9:11:22 PM","Accident - Hit and Run","Blue Form Issue","Melendrez, Jacinto","180 Springtown Way"
"151",200000000356,"1/2/2020  9:40:52 PM","Fireworks","No Contact","Anderson, Dillan","817 Gravel St"
"152",200000000357,"1/2/2020  9:41:03 PM","Fireworks","No Report","Seals, Bradley","400blk Broadway St"
"153",200000000363,"1/2/2020  10:05:35 PM","Threat","No Report","Greenwood, Amy","1800 Post Rd"
"154",200000000366,"1/2/2020  10:18:27 PM","Burglary - Habitation","No Report","Melendrez, Jacinto","1011 Wonder World Dr"
"155",200000000367,"1/2/2020  10:33:29 PM","Suspicious Circumstances","No Report","Greenwood, Amy","1239 N LBJ Dr"
"156",200000000368,"1/2/2020  10:38:15 PM","Attempt to Locate","No Contact","Dehkordi, John","1200blk Hwy 123"
"157",200000000370,"1/2/2020  10:57:55 PM","Assault - Aggravated","Report","Melendrez, Jacinto","801 River Rd"
"158",200000000371,"1/2/2020  11:06:15 PM","Suspicious Vehicle","No Report","Loring, Elizabeth","300blk Riverwalk Dr"
"159",200000000372,"1/2/2020  11:09:32 PM","Suspicious Vehicle","No Report","Poorboy, Duwayne","801 W MLK Dr"
"160",200000000374,"1/2/2020  11:30:00 PM","Information","No Report","","1021 Chestnut St"
"161",200000000379,"1/2/2020  11:58:50 PM","Accident - Fatality","Report","Greenwood, Amy","1000 Blk Hwy 123"
"162",200000000380,"1/3/2020  12:17:29 AM","Suspicious Circumstances","No Report","Anderson, Dillan","2990 S IH 35"
"163",200000000381,"1/3/2020  12:29:21 AM","Suspicious Vehicle","No Report","Mueller, Justin","4300 S IH 35"
"164",200000000383,"1/3/2020  1:07:42 AM","Suspicious Vehicle","No Report","Dehkordi, John","1711 Old Ranch Road 12"
"165",200000000386,"1/3/2020  1:58:24 AM","Suspicious Person","No Report","Mueller, Justin","116 S Edward Gary St"
"166",200000000389,"1/3/2020  2:25:20 AM","Suspicious Vehicle","No Report","Anderson, Dillan","799 N LBJ Dr"
"167",200000000391,"1/3/2020  2:34:40 AM","Narcotics/Information","No Report","","426 Linda Dr"
"168",200000000394,"1/3/2020  3:00:19 AM","Accident - Hit and Run","Arrest","Dehkordi, John","826 Sagewood Trl"
"169",200000000395,"1/3/2020  3:02:18 AM","Disturbance - Noise","Verbal Warning","Loring, Elizabeth","1350 N LBJ Dr"
"170",200000000396,"1/3/2020  3:07:48 AM","Investigation","No Report","Dehkordi, John","Craddock Ave/Sagewood Trl"
"171",200000000398,"1/3/2020  3:53:22 AM","Disturbance - Phys/Fight","No Report","Melendrez, Jacinto","417 N Comanche St"
"172",200000000400,"1/3/2020  4:17:37 AM","Burglary - Building","Multiple Arrest","Melendrez, Jacinto","1050 McKinley Place Dr"
"173",200000000402,"1/3/2020  5:11:19 AM","Attempt to Locate","No Report","","210 SB"
"174",200000000404,"1/3/2020  5:34:08 AM","Attempt to Locate","Ref Oth Agncy","","204 SB"
"175",200000000407,"1/3/2020  7:56:16 AM","Harassment","No Report","Duckworth, Daniel","1015 Hwy 80"
"176",200000000410,"1/3/2020  8:19:05 AM","Welfare Concern","No Report","Duckworth, Daniel","2396 N IH 35"
"177",200000000413,"1/3/2020  8:43:03 AM","Accident - Hit and Run","No Report","","800blk Sagewood Trl"
"178",200000000419,"1/3/2020  9:26:36 AM","Directed/Area Enforcement","No Report","Harrison, Todd","700blk W Hopkins St"
"179",200000000420,"1/3/2020  9:28:42 AM","Accident - Minor","Blue Form Issue","Duckworth, Daniel","900 Bugg Ln"
"180",200000000422,"1/3/2020  9:54:55 AM","Public Assist","No Report","Harrison, Todd","1608 S IH 35"
"181",200000000424,"1/3/2020  10:06:31 AM","Accident - Minor","Blue Form Issue","Duckworth, Daniel","1107 Hwy 80"
"182",200000000425,"1/3/2020  10:15:19 AM","Fraud","No Report","Dehkordi, John","810 Bandera St"
"183",200000000427,"1/3/2020  10:27:21 AM","Disturbance - Verbal","No Report","Marroquin, Christopher","605 W Hutchison St"
"184",200000000429,"1/3/2020  10:42:31 AM","Welfare Concern","No Report","Marroquin, Christopher","3200blk W Wonder World Dr"
"185",200000000432,"1/3/2020  10:57:31 AM","Supplement","No Report","Marroquin, Christopher","2300 S IH 35"
"186",200000000433,"1/3/2020  11:00:20 AM","Fireworks","DNU Info Report","Saavedra, Tim","Sturgeon Dr/Bliss Ln"
"187",200000000436,"1/3/2020  11:07:59 AM","Attempt to Locate","No Report","","198 NB"
"188",200000000438,"1/3/2020  11:15:40 AM","Suspicious Vehicle","Ref Oth Agncy","","201 NB"
"189",200000000440,"1/3/2020  11:32:09 AM","Attempt to Locate","No Report","","198 NB"
"190",200000000442,"1/3/2020  11:39:05 AM","Attempt to Locate","No Report","","208 SB"
"191",200000000443,"1/3/2020  11:48:33 AM","Theft","Report","Marroquin, Christopher","2300 S IH 35"
"192",200000000446,"1/3/2020  11:58:03 AM","Vehicle Theft","No Report","Duckworth, Daniel","700 N IH 35"
"193",200000000450,"1/3/2020  12:13:53 PM","Suspicious Person","No Report","Dehkordi, John","1100BLK N IH 35"
"194",200000000451,"1/3/2020  12:14:34 PM","Public Assist","No Report","Drake, Denise","2300 S IH 35"
"195",200000000454,"1/3/2020  12:52:06 PM","Mental Health Invest","No Report","Lee, Don","400blk Spiny Lizard Ln"
"196",200000000455,"1/3/2020  1:04:55 PM","Fraud","No Report","Dehkordi, John","386 Bridlewood Dr"
"197",200000000457,"1/3/2020  1:11:00 PM","Civil Matter","No Report","Marroquin, Christopher","316 Dashing Sycamore St"
"198",200000000459,"1/3/2020  1:17:39 PM","Civil Standby","No Report","Harrison, Todd","815 Bracewood Cir"
"199",200000000460,"1/3/2020  1:27:48 PM","Vehicle Theft","Report","Marroquin, Christopher","2300 S IH 35"
"200",200000000461,"1/3/2020  1:40:37 PM","Foot Patrol","No Report","Duckworth, Daniel","401 S Guadalupe St"
"201",200000000462,"1/3/2020  1:43:03 PM","Mental Health Invest","Report","Lee, Don","1200 N Bishop St"
"202",200000000463,"1/3/2020  1:50:10 PM","Accident - Minor","Blue Form Issue","Duckworth, Daniel","Hwy 123/E Access Rd"
"203",200000000465,"1/3/2020  2:06:28 PM","Directed/Area Enforcement","No Report","Harrison, Todd","700 W Hopkins St"
"204",200000000469,"1/3/2020  2:22:48 PM","Unsecured/Open Building","No Report","Ellingson, Brian","310 Stagecoach Trl"
"205",200000000474,"1/3/2020  2:55:30 PM","Suspicious Circumstances","Arrest","Duckworth, Daniel","518 Linda Dr"
"206",200000000475,"1/3/2020  3:03:18 PM","Robbery","Report","Marroquin, Christopher","3939 S IH 35"
"207",200000000478,"1/3/2020  3:24:54 PM","Accident - Minor","Blue Form Issue","Daenzer, Matthew","1200BLK N IH 35"
"208",200000000479,"1/3/2020  3:49:20 PM","Attempt to Locate","No Report","","600BLK E Hopkins St"
"209",200000000482,"1/3/2020  4:30:41 PM","Theft","No Report","Tureaud, Benjamin","1348 Thorpe Ln"
"210",200000000485,"1/3/2020  4:41:38 PM","Civil Standby","No Report","Osborne, Joseph","415 Candlelight Ln"
"211",200000000486,"1/3/2020  4:54:59 PM","Theft","No Report","","210 Oak Ridge Dr"
"212",200000000488,"1/3/2020  5:14:09 PM","Attempt to Locate","No Report","McGee, Miranda","198 NB"
"213",200000000492,"1/3/2020  5:33:45 PM","Public Assist","No Report","Daenzer, Matthew","2300 S IH 35"
"214",200000000496,"1/3/2020  5:39:58 PM","Community Contact","No Report","Mueller, Justin","650 River Rd"
"215",200000000497,"1/3/2020  5:44:34 PM","Attempt to Locate","No Report","Wisener, Andrew","Ranch Road 12/Old Ranch Road 12"
"216",200000000499,"1/3/2020  5:51:02 PM","Fraud","Report","Osborne, Joseph","3939 S Ih 35"
"217",200000000501,"1/3/2020  6:05:12 PM","Disturbance - Noise","Cancelled","","1261 W San Antonio St"
"218",200000000504,"1/3/2020  6:10:17 PM","Miss/Runaway/Fnd General","Detention Juv","Osborne, Joseph","3939 S IH 35"
"219",200000000507,"1/3/2020  6:32:18 PM","Assist Outside Agency","No Report","","956 Sycamore St"
"220",200000000508,"1/3/2020  6:43:54 PM","Accident - Minor","Refer To COPR","McGee, Miranda","1901 N IH 35"
"221",200000000510,"1/3/2020  7:00:44 PM","Suspicious Person","No Report","Murphy, Logan","1400 River Rd"
"222",200000000516,"1/3/2020  7:36:57 PM","Assist Outside Agency","No Report","Morenz, Darby","1550 N IH 35"
"223",200000000520,"1/3/2020  7:50:07 PM","Public Assist","No Report","Reeder, John","109 Cypress Ct"
"224",200000000522,"1/3/2020  7:56:05 PM","Investigation","No Report","Osborne, Joseph","3939 S IH 35"
"225",200000000526,"1/3/2020  8:26:07 PM","Attempt to Locate","No Report","","200 SB"
"226",200000000528,"1/3/2020  8:29:29 PM","Suspicious Circumstances","No Report","Verver, Elias","1476 E McCarty Ln"
"227",200000000531,"1/3/2020  8:45:39 PM","Assist Outside Agency","Report","Osborne, Joseph","4015 S IH 35"
"228",200000000534,"1/3/2020  9:16:23 PM","Flagged Down","No Report","Tureaud, Benjamin","101 E MLK Dr"
"229",200000000537,"1/3/2020  9:33:16 PM","Attempt to Locate","No Report","Tureaud, Benjamin","Wonder World Dr/W Access Rd"
"230",200000000540,"1/3/2020  9:56:46 PM","Assist Outside Agency","No Report","Pierce, Basil","1550 N IH 35"
"231",200000000546,"1/3/2020  10:10:18 PM","Attempt to Locate","No Contact","","600blk E Hopkins St"
"232",200000000551,"1/3/2020  10:20:38 PM","Investigation","No Report","Wisener, Andrew","1000 Hwy 123"
"233",200000000553,"1/3/2020  10:26:09 PM","Suspicious Vehicle","No Report","Alvarado, Manuel","1000blk Perkins St"
"234",200000000557,"1/3/2020  10:59:44 PM","Attempt to Locate","Arrest","Pierce, Basil","2300 S IH 35"
"235",200000000564,"1/3/2020  11:51:05 PM","Suspicious Person","No Report","McGee, Miranda","1655 Mill St"
"236",200000000565,"1/3/2020  11:57:53 PM","Viol City Ordinance","Verbal Warning","Gonzales, Gavin","205 S C M Allen Pkwy"
"237",200000000567,"1/4/2020  12:06:07 AM","Suspicious Vehicle","Verbal Warning","Pierce, Basil","400blk Riverway Ave"
"238",200000000568,"1/4/2020  12:12:55 AM","Unsecured/Open Building","No Report","Osborne, Joseph","2601 Rattler Rd"
"239",200000000572,"1/4/2020  12:27:28 AM","Suspicious Circumstances","No Report","Alvarado, Manuel","600 Wonder World Dr"
"240",200000000583,"1/4/2020  1:17:37 AM","Discharged Firearm","No Report","Alvarado, Manuel","1415 Craddock Ave"
"241",200000000586,"1/4/2020  1:24:28 AM","Burglary - Vehicle","No Report","Murphy, Logan","1300blk Thorpe Ln"
