Incident_Nr,TimeReported,Activity,Disposition,Officer,Location
170000000043,Sun Jan 01 01:28:29 CST 2017,Suspicious Person,No Report,,100blk Jackson Ln
170000000046,Sun Jan 01 01:40:30 CST 2017,Assist EMS,No Report,"Raven, Kassondra",130 Jackson Ln
170000000047,Sun Jan 01 01:41:41 CST 2017,Suspicious Vehicle,No Report,"Templeton, Brady",3939 S IH 35
170000000049,Sun Jan 01 01:46:41 CST 2017,Attempt to Locate,No Contact,,Hwy 123/Wonder World Dr
170000000050,Sun Jan 01 01:49:02 CST 2017,Investigation,Verbal Warning,"Hartman, Ryan",100 N Guadalupe St
170000000051,Sun Jan 01 01:49:53 CST 2017,Investigation,No Report,"Templeton, Brady",3939 S IH 35
170000000052,Sun Jan 01 01:53:23 CST 2017,Pedestrian Stop,Verbal Warning,"Hartman, Ryan",100BLK S Guadalupe St
170000000053,Sun Jan 01 01:55:41 CST 2017,Foot Patrol,No Report,"Smith, Austin",San Antonio St/Guadalupe St
170000000054,Sun Jan 01 01:57:30 CST 2017,Foot Patrol,No Report,"Mizanin, Rich",100 W Hopkins St
170000000055,Sun Jan 01 01:57:31 CST 2017,Abduction/Kidnapping,No Report,"Putnam, Justin",209 Newberry Trl
170000000056,Sun Jan 01 02:01:11 CST 2017,Assault,No Report,"Smith, Austin",1655 Mill St
170000000058,Sun Jan 01 02:10:04 CST 2017,Investigation,No Report,"Smith, Austin",San Antonio St/Guadalupe St
170000000059,Sun Jan 01 02:10:30 CST 2017,Disturbance - Phys/Fight,No Report,"Smith, Austin",1701 Mill St
170000000060,Sun Jan 01 02:12:45 CST 2017,Investigation,Verbal Warning,"Verver, Elias",126 S Guadalupe St
170000000061,Sun Jan 01 02:14:59 CST 2017,Disturbance - Phys/Fight,No Report,"Putnam, Justin",141 Silo St
170000000064,Sun Jan 01 02:19:21 CST 2017,Suspicious Person,No Report,"Smith, Marcus",141 W Hopkins St
170000000066,Sun Jan 01 02:27:22 CST 2017,Disturbance - Phys/Fight,No Contact,"Smith, Marcus",120 E San Antonio St
170000000067,Sun Jan 01 02:31:59 CST 2017,Viol City Ordinance,Citation Issued,"Hartman, Ryan",242 N Lbj Dr
170000000069,Sun Jan 01 02:36:59 CST 2017,Discharged Firearm,No Report,"Cormier, Claudia",650 River Rd
170000000070,Sun Jan 01 02:46:53 CST 2017,Disturbance - Phys/Fight,No Report,"Putnam, Justin",512   Lockhart St
170000000071,Sun Jan 01 02:48:09 CST 2017,Attempt to Locate,No Contact,"Smith, Marcus",Aquarena Springs Dr/University Dr
170000000072,Sun Jan 01 02:50:10 CST 2017,Disturbance - Noise,Citation Issued,"Smith, Austin",1703 N IH 35
170000000074,Sun Jan 01 03:04:39 CST 2017,Theft,Refer To COPR,"Wooten, Christopher",1701 Mill St
170000000075,Sun Jan 01 03:04:42 CST 2017,Investigation,No Report,"Putnam, Justin",1150 E River Ridge Pkwy
170000000076,Sun Jan 01 03:09:21 CST 2017,Disturbance - Noise,Unfounded,"Davidson, Travis",1818 Old Ranch Road 12
170000000079,Sun Jan 01 03:12:52 CST 2017,Disturbance - Verbal,No Report,"Smith, Marcus",1716 Hofheinz St
170000000080,Sun Jan 01 03:13:16 CST 2017,Viol City Ordinance,Verbal Warning,"Putnam, Justin",1150 E River Ridge Pkwy
170000000081,Sun Jan 01 03:13:47 CST 2017,Suspicious Person,No Report,"Wooten, Christopher",1805 Aquarena Springs Dr
170000000082,Sun Jan 01 03:16:56 CST 2017,Investigation,No Report,"Davidson, Travis",Edward Gary St/E San Antonio St
170000000083,Sun Jan 01 03:26:18 CST 2017,Suspicious Vehicle,No Report,"Cormier, Claudia",216 E Hopkins St
170000000085,Sun Jan 01 03:30:38 CST 2017,Missing Person,Cancelled,"Smith, Austin",609 Columbia Ave
170000000086,Sun Jan 01 03:43:34 CST 2017,Burglary - Habitation,Report,"Smith, Austin",173 Cazador Dr
170000000087,Sun Jan 01 03:51:02 CST 2017,Disturbance - Verbal,No Report,"Putnam, Justin",225 Ramsay St
170000000088,Sun Jan 01 04:04:10 CST 2017,Investigation,Citation Issued,"Aubry, Patrick",2101 Hwy 123
170000000090,Sun Jan 01 04:06:13 CST 2017,Disturbance - Noise,Citation Issued,"Hartman, Ryan",1101 E River Ridge Pkwy
170000000089,Sun Jan 01 04:06:13 CST 2017,Suspicious Person,No Report,"Gonzales, Gavin",1350 N LBJ Dr
170000000091,Sun Jan 01 04:27:56 CST 2017,Welfare Concern,No Report,"Gonzales, Gavin",1101 Leah Ave
170000000092,Sun Jan 01 04:31:24 CST 2017,Burglary - Habitation,Report,"Smith, Austin",202 Cazador Dr
170000000093,Sun Jan 01 04:33:35 CST 2017,Civil Standby,No Contact,"Putnam, Justin",1350 Wonder World Dr
170000000094,Sun Jan 01 04:35:01 CST 2017,Public Assist,No Report,"Cormier, Claudia",Blanco St/Harvey St
170000000095,Sun Jan 01 04:38:54 CST 2017,Burglary - Habitation,Report,"Aubry, Patrick",198 Cazador Dr
170000000096,Sun Jan 01 04:50:15 CST 2017,Attempt to Locate,No Report,"Putnam, Justin",202 Nb35 IH
170000000097,Sun Jan 01 04:52:05 CST 2017,Disturbance - Verbal,No Report,"Sarver, Stephen",2913 Hunter Rd
170000000098,Sun Jan 01 05:06:29 CST 2017,Disturbance - Verbal,No Report,"Gonzales, Gavin",Archie St/Dolly St
170000000099,Sun Jan 01 05:32:02 CST 2017,Burglary - Vehicle,Refer To COPR,"Putnam, Justin",1111 Avalon Ave
170000000101,Sun Jan 01 06:02:29 CST 2017,Mental Health Invest,No Report,"Bulller, Zachery",1429 N Ih 35
170000000106,Sun Jan 01 07:08:37 CST 2017,Fireworks,No Report,"Copeland, Kenneth",100blk Dolly St
170000000107,Sun Jan 01 09:25:24 CST 2017,Wanted Person,Arrest,"Copeland, Kenneth",514 Fm 1979
170000000108,Sun Jan 01 09:50:29 CST 2017,Suspicious Vehicle,No Report,"Reeder, John",1608 S IH 35
170000000109,Sun Jan 01 10:08:33 CST 2017,Disturbance - Noise,Unfounded,"Reeder, John",700blk Gravel St
170000000111,Sun Jan 01 10:34:13 CST 2017,Welfare Concern,No Report,"Bulller, Zachery",1100blk Conway Dr
170000000113,Sun Jan 01 10:53:28 CST 2017,Narcotics/Information,No Report,"Easterly, Evan",1001 E McCarty Ln
170000000117,Sun Jan 01 11:31:22 CST 2017,Attempt to Locate,No Report,,210 Sb35 IH
170000000118,Sun Jan 01 11:41:00 CST 2017,Animal Call,Ref oth Agncy,"Pierce, Basil",Gladney Dr/Harwood Dr
170000000119,Sun Jan 01 11:43:33 CST 2017,Disturbance - Noise,Unfounded,"Easterly, Evan",2913 Hunter Rd
170000000121,Sun Jan 01 12:17:00 CST 2017,Suspicious Circumstances,No Report,"Easterly, Evan",2700 Hunter Rd
170000000123,Sun Jan 01 12:30:38 CST 2017,Civil Standby,No Report,"Easterly, Evan",1350 Wonder World Dr
170000000125,Sun Jan 01 13:01:40 CST 2017,Disturbance - Verbal,No Report,"Easterly, Evan",711 Georgia St
170000000127,Sun Jan 01 13:05:18 CST 2017,Barking Dog,No Report,"Copeland, Kenneth",2004 Nevada St
170000000128,Sun Jan 01 13:08:56 CST 2017,Welfare Concern,No Report,,Hwy 21/Hwy 80
170000000129,Sun Jan 01 13:14:34 CST 2017,Discharged Firearm,No Report,"Reeder, John",264 Newberry Trl
170000000132,Sun Jan 01 13:41:22 CST 2017,Supplement,No Report,"Copeland, Kenneth",1701 Mill St
170000000135,Sun Jan 01 13:53:37 CST 2017,Attempt to Locate,No Report,,201 Sb35 IH
170000000136,Sun Jan 01 13:55:08 CST 2017,Theft,Report,"Easterly, Evan",3939 S IH 35
170000000139,Sun Jan 01 14:05:01 CST 2017,Assist EMS,Report,"Bulller, Zachery",1980 Aquarena Springs Dr
170000000141,Sun Jan 01 14:15:07 CST 2017,Investigation,No Report,"Reeder, John",200blk Tampico St
170000000142,Sun Jan 01 14:21:14 CST 2017,Missing Person,No Report,"Reeder, John",801 River Rd
170000000144,Sun Jan 01 14:25:10 CST 2017,Assault,No Report,"Copeland, Kenneth",121 BarBQ Way
170000000148,Sun Jan 01 15:15:04 CST 2017,Public Assist,No Report,"Reeder, John",1301 Wonder World Dr
170000000149,Sun Jan 01 15:21:10 CST 2017,Civil Standby,Report,"Copeland, Kenneth",121 BarBQ Way
170000000151,Sun Jan 01 15:42:04 CST 2017,Fraud,No Report,"Pierce, Basil",900 Bugg Ln
170000000152,Sun Jan 01 15:48:49 CST 2017,Close Patrol,No Report,,106 Losoya Dr
170000000156,Sun Jan 01 16:03:47 CST 2017,Public Intoxication,Arrest,"Templeton, Brady",1210 Wonder World Dr
170000000157,Sun Jan 01 16:07:26 CST 2017,Accident - Minor,Blue Form Issue,"Wooten, Christopher",1015 Hwy 80
170000000158,Sun Jan 01 16:17:40 CST 2017,Vehicle Theft,No Report,"Raven, Kassondra",1623 Aquarena Springs Dr
170000000159,Sun Jan 01 16:18:31 CST 2017,Burglary - Habitation,No Report,"Smith, Marcus",1647 Post Rd
170000000160,Sun Jan 01 16:24:22 CST 2017,Burglary - Habitation,Report,"Sarver, Stephen",1415 Craddock Ave
170000000161,Sun Jan 01 16:24:26 CST 2017,Welfare Concern,No Report,"Easterly, Evan",W MLK Dr/Jackman St
170000000162,Sun Jan 01 16:27:15 CST 2017,Welfare Concern,No Contact,"Bulller, Zachery",301 E Hopkins St
170000000165,Sun Jan 01 16:32:17 CST 2017,Suspicious Vehicle,No Report,"Pierce, Basil",630 E Hopkins St
170000000169,Sun Jan 01 17:08:07 CST 2017,Accident - Minor,Report,"Wooten, Christopher",E Hopkins St/W Access Rd
170000000171,Sun Jan 01 17:21:55 CST 2017,Welfare Concern,No Report,"Mizanin, Rich",1229 N Lbj Dr
170000000173,Sun Jan 01 17:34:31 CST 2017,Fireworks,No Report,"Sarver, Stephen",102 Nichols Dr
170000000175,Sun Jan 01 17:41:10 CST 2017,Attempt to Locate,No Report,"Sarver, Stephen",Hunter Rd/McCarty Ln
170000000176,Sun Jan 01 17:44:13 CST 2017,Accident - Minor,Blue Form Issue,"Smith, Marcus",641 E Hopkins St
170000000178,Sun Jan 01 17:59:49 CST 2017,Public Assist,No Report,"Smith, Marcus",641 E Hopkins St
170000000180,Sun Jan 01 18:08:16 CST 2017,Accident - Minor,Report,"Wooten, Christopher",1951 Aquarena Springs Dr
170000000181,Sun Jan 01 18:11:29 CST 2017,Unsecured/Open Building,No Report,"Wooten, Christopher",235 N LBJ Dr
170000000182,Sun Jan 01 18:20:14 CST 2017,Suspicious Person,No Report,"Wooten, Christopher",109 West Ave
170000000183,Sun Jan 01 18:31:17 CST 2017,Disturbance - Verbal,No Report,"Wooten, Christopher",E Access Rd/Yarrington Rd
170000000185,Sun Jan 01 19:07:25 CST 2017,Public Assist,No Report,"Sarver, Stephen",109 Craddock Ave
170000000186,Sun Jan 01 19:46:06 CST 2017,Assault,Arrest,"Smith, Austin",1716 Hofheinz St
170000000188,Sun Jan 01 19:55:24 CST 2017,Accident - Unknown,Report,"Wooten, Christopher",205 Sb35 IH
170000000189,Sun Jan 01 19:55:25 CST 2017,Accident - Unknown,Ignore,,204b Sb35 IH
170000000190,Sun Jan 01 19:57:53 CST 2017,Fireworks,Unfounded,"Beller, Paul",200blk Ebony St
170000000191,Sun Jan 01 19:59:04 CST 2017,Fireworks,No Report,,200blk Ebony St
170000000192,Sun Jan 01 19:59:05 CST 2017,Animal Call,No Report,"Beller, Paul",Broadway St/Patricia Dr
170000000193,Sun Jan 01 20:04:21 CST 2017,Accident - Hit and Run,Cancelled,,
170000000194,Sun Jan 01 20:04:53 CST 2017,Accident - Minor,Report,"Putnam, Justin",1212 Conway Dr
170000000197,Sun Jan 01 20:25:00 CST 2017,Public Assist,No Report,"Templeton, Brady",2300 S Ih 35
170000000200,Sun Jan 01 20:37:55 CST 2017,Disturbance - Verbal,No Report,"Wooten, Christopher",426 Linda Dr
170000000201,Sun Jan 01 20:49:49 CST 2017,Fireworks,Unfounded,"Beller, Paul",613 Mcgehee St
170000000202,Sun Jan 01 20:50:47 CST 2017,Assist Outside Agency,Cancelled,"Raven, Kassondra",2661 N Ih 35
170000000203,Sun Jan 01 20:55:16 CST 2017,Public Assist,No Report,,512 Craddock Ave
170000000204,Sun Jan 01 20:58:16 CST 2017,Unsecured/Open Building,No Report,"Weber, Daniel",2661 N IH 35
170000000205,Sun Jan 01 21:00:55 CST 2017,,Ignore,,
170000000207,Sun Jan 01 21:07:20 CST 2017,Fireworks,Citation Issued,"Wooten, Christopher",1203 Uhland Rd
170000000208,Sun Jan 01 21:10:12 CST 2017,Theft,Report,"Wooten, Christopher",650 River Rd
170000000209,Sun Jan 01 21:14:55 CST 2017,Assist EMS,No Report,"Putnam, Justin",316 Linda Dr
170000000210,Sun Jan 01 21:16:30 CST 2017,Assist Outside Agency,No Report,"Gonzales, Gavin",1307 Uhland Rd
170000000212,Sun Jan 01 21:21:10 CST 2017,Attempt to Locate,Ref oth Agncy,,200 Nb35 IH
170000000213,Sun Jan 01 21:24:16 CST 2017,Attempt to Locate,No Contact,"Smith, Marcus",202 Nb35 IH
170000000217,Sun Jan 01 21:43:44 CST 2017,Suspicious Vehicle,No Report,,1011 Hackberry St
170000000221,Sun Jan 01 21:54:33 CST 2017,Welfare Concern,No Report,"Aubry, Patrick",202 N LBJ Dr
170000000226,Sun Jan 01 22:21:42 CST 2017,Suspicious Person,No Report,"Wooten, Christopher",1901 N Ih 35
170000000229,Sun Jan 01 23:11:35 CST 2017,Information,No Contact,,2300 S Ih 35
170000000230,Sun Jan 01 23:28:03 CST 2017,Investigation,No Report,"Gonzales, Gavin",1307 Uhland Rd
170000000233,Mon Jan 02 00:00:26 CST 2017,Suspicious Vehicle,No Report,"Cormier, Claudia",E Access Rd/Yarrington Rd
170000000234,Mon Jan 02 00:01:34 CST 2017,Suspicious Vehicle,No Report,"Templeton, Brady",3939 S IH 35
170000000236,Mon Jan 02 00:14:41 CST 2017,Fireworks,Unfounded,"Beller, Paul",801 W MLK Dr
170000000238,Mon Jan 02 00:21:49 CST 2017,Recovered Stolen Vehicle,Ignore,,2601 S IH 35
170000000240,Mon Jan 02 00:35:34 CST 2017,Suspicious Person,No Report,"Templeton, Brady",4321 S IH 35
170000000241,Mon Jan 02 01:00:54 CST 2017,Fireworks,Not Verified,"Smith, Austin",Coers Cir/Coers Dr
170000000243,Mon Jan 02 01:23:47 CST 2017,Suspicious Vehicle,No Report,"Templeton, Brady",4205 S Ih 35
170000000244,Mon Jan 02 01:28:18 CST 2017,Suspicious Vehicle,No Report,"Davidson, Travis",1642 Post Rd
170000000245,Mon Jan 02 01:33:20 CST 2017,,No Report,,
170000000246,Mon Jan 02 01:35:07 CST 2017,Suspicious Person,Arrest,"Smith, Austin",1850 Aquarena Springs Dr
170000000247,Mon Jan 02 01:39:32 CST 2017,Viol City Ordinance,Verbal Warning,"Smith, Austin",1420 Old Ranch Road 12
170000000249,Mon Jan 02 01:53:56 CST 2017,Accident - Hit and Run,Blue Form Issue,"Davidson, Travis",804 N LBJ Dr
170000000251,Mon Jan 02 03:11:53 CST 2017,Information,No Contact,,300 N Fredericksburg St
170000000252,Mon Jan 02 03:26:46 CST 2017,Deliver Message,No Report,"Wooten, Christopher",109 West Ave
170000000256,Mon Jan 02 04:13:23 CST 2017,Suspicious Vehicle,No Report,"Putnam, Justin",1250 N Ih 35
170000000257,Mon Jan 02 04:43:21 CST 2017,Disturbance - Verbal,No Report,"Gonzales, Gavin",215 Roosevelt St
170000000259,Mon Jan 02 05:16:00 CST 2017,Suspicious Vehicle,No Report,"Aubry, Patrick",1101 E River Ridge Pkwy
170000000261,Mon Jan 02 05:28:46 CST 2017,Assist EMS,No Report,"Gonzales, Gavin",1200 Hwy 80
170000000263,Mon Jan 02 05:49:22 CST 2017,Attempt to Locate,No Report,"Cormier, Claudia",Jackson Ln/Thorpe Ln
170000000264,Mon Jan 02 05:51:21 CST 2017,Attempt to Locate,No Contact,,E Access Rd/Blanco River
170000000267,Mon Jan 02 07:25:10 CST 2017,Mental Health Invest,No Report,"Slaughter, Dustin",1900 Aquarena Springs Dr
170000000271,Mon Jan 02 08:27:42 CST 2017,Accident - Major/Injury,Report,"Slaughter, Dustin",E Access Rd/Hwy 80
170000000276,Mon Jan 02 09:14:02 CST 2017,Accident - Major/Injury,Blue Form Issue,"Cope, John",3500blk Hwy 123
170000000278,Mon Jan 02 09:14:49 CST 2017,Traff/Transport Accident,Fire Call,"Turner, Tory",3600blk Hwy 123
170000000281,Mon Jan 02 09:23:14 CST 2017,Welfare Concern,No Report,"Sembera, Jeremy",420 North St
170000000286,Mon Jan 02 10:01:14 CST 2017,Public Assist,No Report,"Derrickson, Jehu",2300 S Ih 35
170000000288,Mon Jan 02 10:15:54 CST 2017,Mental Health Invest,No Report,"Harrison, Todd",122 Old Settlers Dr
170000000292,Mon Jan 02 10:27:05 CST 2017,Supplement,No Report,"Cope, John",730 E Hopkins St
170000000294,Mon Jan 02 11:02:32 CST 2017,Burglary - Vehicle,Report,"Saavedra, Jesse",2517 S Ih 35
170000000295,Mon Jan 02 11:07:20 CST 2017,Property - Lost/Found/Imp,No Report,"Slaughter, Dustin",W De Zavala Dr/Hwy 123
170000000297,Mon Jan 02 11:17:31 CST 2017,Welfare Concern,No Report,"Harrison, Todd",100blk Silo St
170000000299,Mon Jan 02 11:43:28 CST 2017,Welfare Concern,No Report,"Cope, John",199 Sb35 IH
170000000302,Mon Jan 02 11:59:07 CST 2017,Attempt to Locate,Ref oth Agncy,,Hwy 80/County Rd
170000000314,Mon Jan 02 12:34:52 CST 2017,Attempt to Locate,No Report,,W Access Rd/Wonder World Dr
170000000315,Mon Jan 02 12:35:45 CST 2017,Attempt to Locate,No Report,,201 Nb35 IH
170000000316,Mon Jan 02 12:39:08 CST 2017,Theft,No Report,"Harrison, Todd",1655 Mill St
170000000317,Mon Jan 02 12:48:10 CST 2017,Assist Fire Department,No Report,"Cope, John",1807 Airport Dr
170000000321,Mon Jan 02 13:07:44 CST 2017,Supplement,Report,"Harrison, Todd",1111 Avalon Ave
170000000324,Mon Jan 02 13:29:08 CST 2017,Attempt to Locate,No Report,,2300 S Ih 35
170000000325,Mon Jan 02 13:32:32 CST 2017,Child Custody,No Report,"Harrison, Todd",1320 River Rd
170000000327,Mon Jan 02 13:52:20 CST 2017,Suspicious Person,No Report,"Sembera, Jeremy",2300 S Ih 35
170000000329,Mon Jan 02 13:54:48 CST 2017,Assault,Report,"Slaughter, Dustin",1001 Hwy 123
170000000330,Mon Jan 02 14:02:59 CST 2017,Runaway - Recover,No Report,"Harrison, Todd",4319 Trail Ridge Pass
170000000331,Mon Jan 02 14:11:21 CST 2017,Theft,No Report,"Stephens, Paul",3939 S Ih 35
170000000332,Mon Jan 02 14:35:56 CST 2017,Assist Outside Agency,Report,"Derrickson, Jehu",1307 Uhland Rd
170000000333,Mon Jan 02 14:37:45 CST 2017,Civil Matter,No Report,"Cope, John",1436   River Rd
170000000334,Mon Jan 02 14:39:11 CST 2017,Harassment,Ref oth Agncy,,2300 S Ih 35
170000000335,Mon Jan 02 14:40:49 CST 2017,Welfare Concern,No Contact,"Saavedra, Jesse",W Access Rd/Wonder World Dr
170000000336,Mon Jan 02 14:50:55 CST 2017,Harassment,No Report,"Cope, John",2300 S Ih 35
170000000337,Mon Jan 02 14:53:07 CST 2017,Burglary - Vehicle,Report,"Harrison, Todd",1600 N Ih 35
170000000338,Mon Jan 02 15:00:07 CST 2017,Welfare Concern,No Report,"Sembera, Jeremy",200 Sb35 IH
170000000340,Mon Jan 02 15:11:49 CST 2017,Harassment,Report,"Cope, John",2300 S Ih 35
170000000342,Mon Jan 02 15:31:11 CST 2017,Alarm - Intrusion,Ignore,,2300 S Ih 35
170000000343,Mon Jan 02 15:31:47 CST 2017,Public Assist,No Report,"Sembera, Jeremy",1250 N Ih 35
170000000344,Mon Jan 02 15:36:29 CST 2017,Disturbance - Noise,Unfounded,"Seals, Bradley",1250 Sadler Dr
170000000346,Mon Jan 02 15:37:57 CST 2017,,Ignore,,
170000000347,Mon Jan 02 15:38:19 CST 2017,Disturbance - Noise,Not Verified,"Osborne, Joseph",232 Craddock Ave
170000000349,Mon Jan 02 15:40:46 CST 2017,Suspicious Person,No Report,"Stephens, Paul",4300 S IH 35
170000000353,Mon Jan 02 16:04:46 CST 2017,Welfare Concern,No Report,"Fischer, Vincent",1249 N Lbj Dr
170000000354,Mon Jan 02 16:12:22 CST 2017,Viol City Ordinance,Verbal Warning,"Tennant, Casey",806 Barbara Dr
170000000356,Mon Jan 02 16:14:14 CST 2017,Assist EMS,No Report,"Tennant, Casey",158 Bandera St
170000000357,Mon Jan 02 16:23:51 CST 2017,Suspicious Person,No Report,"Roberts, Nelson",2661 N IH 35
170000000359,Mon Jan 02 16:31:16 CST 2017,Suspicious Vehicle,Warning,"Roberts, Nelson",2661 N Ih 35
170000000362,Mon Jan 02 17:02:23 CST 2017,Mental Health Invest,No Report,"Sheridan, Grant",2300 S Ih 35
170000000367,Mon Jan 02 17:35:07 CST 2017,Burglary - Habitation,Report,"Tennant, Casey",1150 E River Ridge Pkwy
170000000368,Mon Jan 02 17:48:07 CST 2017,Suspicious Person,No Report,"Blackwood, Kevin",1655 Mill St
170000000369,Mon Jan 02 17:55:01 CST 2017,Suspicious Vehicle,Cancelled,"Osborne, Joseph",150 S Lbj Dr
170000000370,Mon Jan 02 18:02:06 CST 2017,Civil Matter,No Report,"Blackwood, Kevin",1103 Hwy 80
170000000372,Mon Jan 02 18:13:55 CST 2017,Welfare Concern,Cancelled,,
170000000374,Mon Jan 02 18:27:23 CST 2017,Mental Health Follow Up,No Report,"Sheridan, Grant",1980 Aquarena Springs Dr
170000000377,Mon Jan 02 19:41:33 CST 2017,Burglary - Habitation,Report,"Tennant, Casey",1111 Avalon Ave
170000000378,Mon Jan 02 19:41:51 CST 2017,Public Assist,No Report,"Saavedra, Jesse",2300 S Ih 35
170000000381,Mon Jan 02 20:01:10 CST 2017,Suspicious Vehicle,No Report,"Stephens, Paul",3939 S IH 35
170000000382,Mon Jan 02 20:04:43 CST 2017,Suspicious Vehicle,No Report,"Osborne, Joseph",121 BarBQ Way
170000000386,Mon Jan 02 20:24:40 CST 2017,,Ignore,,1800 Post Rd
170000000390,Mon Jan 02 20:59:49 CST 2017,Accident - Minor,Blue Form Issue,"Tennant, Casey",3209 N IH 35
170000000394,Mon Jan 02 21:28:49 CST 2017,Disturbance - Verbal,No Report,"Osborne, Joseph",802 Perkins St
170000000396,Mon Jan 02 21:32:58 CST 2017,Graffiti,No Report,"Tennant, Casey",8Mill St/Third St
170000000400,Mon Jan 02 21:58:27 CST 2017,Discharged Firearm,No Report,"Tennant, Casey",1300BLK Davis Ln
170000000402,Mon Jan 02 22:01:13 CST 2017,Fireworks,No Report,"Tennant, Casey",1650 River Rd
170000000403,Mon Jan 02 22:05:13 CST 2017,Disturbance - Noise,Unfounded,"Osborne, Joseph",1818 Old Ranch Road 12
170000000408,Mon Jan 02 22:38:21 CST 2017,Attempt to Locate,Ref oth Agncy,,208 Nb35 IH
170000000412,Mon Jan 02 22:48:57 CST 2017,Suspicious Vehicle,No Report,"Osborne, Joseph",Craddock Ave/Allen St
