Incident_Nr,TimeReported,Activity,Disposition,Officer,Location
180000000067,Mon Jan 01 06:19:22 CST 2018,Disturbance - Phys/Fight,Report,"Royal, GeCorrie",1005 N IH 35
180000000068,Mon Jan 01 06:25:50 CST 2018,Disturbance - Noise,Verbal Warning,"Davidson, Travis",1101 San Marcos Pkwy
180000000069,Mon Jan 01 06:35:30 CST 2018,Disturbance - Verbal,No Report,"Sembera, Jeremy",1005 N IH 35
180000000071,Mon Jan 01 07:25:17 CST 2018,Suspicious Person,No Report,,1108 Columbia Ave
180000000073,Mon Jan 01 07:43:01 CST 2018,Public Assist,No Contact,,1108 Columbia Ave
180000000076,Mon Jan 01 08:16:47 CST 2018,Welfare Concern,No Report,"Daenzer, Matthew",1506 S IH 35
180000000080,Mon Jan 01 08:49:09 CST 2018,Suspicious Person,No Contact,"Daenzer, Matthew",250 S Stagecoach Trl
180000000083,Mon Jan 01 09:09:00 CST 2018,Disturbance - Phys/Fight,Report,"Sembera, Jeremy",1805 N IH 35
180000000084,Mon Jan 01 09:12:26 CST 2018,Investigation,No Report,"Ames, Garner",2300 S IH 35
180000000090,Mon Jan 01 11:21:59 CST 2018,Property - Lost/Found/Imp,No Report,"Sembera, Jeremy",200blk Ramsay St
180000000095,Mon Jan 01 12:09:01 CST 2018,Accident - Hit and Run,No Report,"Castillo, DJ",500blk Staples Rd
180000000102,Mon Jan 01 13:06:33 CST 2018,Welfare Concern,No Report,"Castillo, Daniel",3939 S IH 35
180000000104,Mon Jan 01 13:19:47 CST 2018,Disturbance - Verbal,No Report,"Ames, Garner",811 S Guadalupe St
180000000105,Mon Jan 01 13:26:03 CST 2018,Information,No Report,,E Hopkins St/RR Tracks (Walgreens)
180000000106,Mon Jan 01 14:30:10 CST 2018,Disturbance - Verbal,No Report,"Ames, Garner",1310 Barbara Dr
180000000112,Mon Jan 01 15:27:11 CST 2018,Assist EMS,No Report,"Daenzer, Matthew",1754 River Rd
180000000114,Mon Jan 01 15:43:21 CST 2018,Theft,Refer To COPR,,1415 Craddock Ave
180000000115,Mon Jan 01 15:54:46 CST 2018,Supplement,No Report,"Ames, Garner",1310 Barbara Dr
180000000116,Mon Jan 01 16:01:05 CST 2018,Suspicious Vehicle,No Report,"Sembera, Jeremy",913 Hwy 80
180000000117,Mon Jan 01 16:03:18 CST 2018,Welfare Concern,No Report,"Fischer, Vincent",100blk W Hopkins St
180000000120,Mon Jan 01 16:34:35 CST 2018,Animal Call,No Report,"Osborne, Joseph",306 Laredo St
180000000123,Mon Jan 01 16:52:23 CST 2018,Attempt to Locate,No Report,"Tureaud, Benjamin",210 SB
180000000124,Mon Jan 01 16:54:00 CST 2018,Harassment,Refer To COPR,"Cope, John",1410 Marlton St
180000000125,Mon Jan 01 16:55:41 CST 2018,Attempt to Locate,No Report,,202 NB
180000000126,Mon Jan 01 17:11:15 CST 2018,Welfare Concern,No Report,"Osborne, Joseph",325 Patricia Dr
180000000127,Mon Jan 01 17:24:42 CST 2018,Civil Standby,No Report,"Fischer, Vincent",641 E Hopkins St
180000000128,Mon Jan 01 17:30:19 CST 2018,Property - Lost/Found/Imp,No Report,"Cope, John",2300 S IH 35
180000000129,Mon Jan 01 17:36:12 CST 2018,Accident - Minor,Citation Issued,"Duckworth, Daniel",303 Lamar Ave
180000000130,Mon Jan 01 18:06:45 CST 2018,Discharged Firearm,No Report,"Tureaud, Benjamin",504 Bliss Ln
180000000135,Mon Jan 01 18:53:51 CST 2018,Disturbance - Verbal,No Report,"Tureaud, Benjamin",1354 Thorpe Ln
180000000137,Mon Jan 01 19:14:07 CST 2018,Flagged Down,No Report,"Tureaud, Benjamin",1180 Thorpe Ln
180000000139,Mon Jan 01 19:27:58 CST 2018,Suicidal Person,Ref oth Agncy,,2300 S IH 35
180000000140,Mon Jan 01 20:02:06 CST 2018,Missing Person,No Report,"Duckworth, Daniel",1307 Brown St
180000000143,Mon Jan 01 20:18:41 CST 2018,Civil Standby,No Report,"Tennant, Casey",1506 S IH 35
180000000146,Mon Jan 01 20:47:55 CST 2018,Fireworks,No Contact,"Tennant, Casey",700blk Allen St
180000000147,Mon Jan 01 20:54:22 CST 2018,Suspicious Vehicle,No Report,"Pierce, Basil",Yarrington Rd/Blanco Vista Blvd
180000000148,Mon Jan 01 20:54:35 CST 2018,Fireworks,No Contact,"Marroquin, Christopher",1000blk Advance St
180000000158,Mon Jan 01 23:01:24 CST 2018,Directed/Area Enforcement,No Report,"Tennant, Casey",N LBJ Dr/Tanglewood Trl
180000000160,Mon Jan 01 23:18:23 CST 2018,Disturbance - Verbal,No Report,"Osborne, Joseph",1301 Wonder World Dr
180000000167,Tue Jan 02 00:00:34 CST 2018,Information,No Report,,202 NB
180000000169,Tue Jan 02 00:13:34 CST 2018,Disturbance - Phys/Fight,Arrest,"Alvarado, Manuel",815 N IH 35
180000000171,Tue Jan 02 00:30:17 CST 2018,Attempt to Locate,No Report,,1303 Uhland Rd
180000000172,Tue Jan 02 00:33:29 CST 2018,Suspicious Circumstances,No Report,"McGee, Miranda",301 Telluride St
180000000174,Tue Jan 02 00:39:39 CST 2018,Accident - Unknown,Report,"Tennant, Casey",204 Sb35 IH
180000000180,Tue Jan 02 01:28:30 CST 2018,Disturbance - Phys/Fight,No Report,"Tennant, Casey",138 N LBJ Dr
180000000181,Tue Jan 02 02:09:27 CST 2018,Suspicious Circumstances,False Alarm,"Tennant, Casey",600blk E Hopkins St
180000000183,Tue Jan 02 02:48:02 CST 2018,Welfare Concern,No Report,"Tennant, Casey",1433 N IH 35
180000000184,Tue Jan 02 03:00:11 CST 2018,Welfare Concern,No Report,"Alvarado, Manuel",1015 Hwy 80
180000000186,Tue Jan 02 03:43:48 CST 2018,Suspicious Person,Cancelled,,2041 S IH 35
180000000187,Tue Jan 02 04:01:04 CST 2018,Alarm - Unknown/General,No Report,"McGee, Miranda",641 E Hopkins St
180000000188,Tue Jan 02 04:25:09 CST 2018,Attempt to Locate,Ref oth Agncy,,208 NB
180000000189,Tue Jan 02 08:44:10 CST 2018,Accident - Minor,No Report,"Slaughter, Dustin",1303 S IH 35
180000000190,Tue Jan 02 08:48:36 CST 2018,Flagged Down,No Report,"Daenzer, Matthew",1751 Valencia Way
180000000191,Tue Jan 02 09:12:32 CST 2018,Suspicious Person,No Report,"Sembera, Jeremy",302 W Hopkins St
180000000192,Tue Jan 02 09:32:53 CST 2018,Theft,Report,"Harrison, Todd",1016 W MLK Dr
180000000193,Tue Jan 02 09:37:54 CST 2018,Information,No Report,,2300 S IH 35
180000000194,Tue Jan 02 09:48:11 CST 2018,Alarm - Robbery,False Alarm,"Sparenberg, Andrew",1811 Medical Pkwy
180000000196,Tue Jan 02 09:54:32 CST 2018,Animal Call,No Report,,1113 Jones St
180000000198,Tue Jan 02 09:59:36 CST 2018,Suspicious Person,No Report,"Sparenberg, Andrew",311 W Hopkins St
180000000199,Tue Jan 02 10:06:49 CST 2018,Alarm - Robbery,False Alarm,"Daenzer, Matthew",1811 Medical Pkwy
180000000202,Tue Jan 02 10:12:52 CST 2018,Civil Matter,No Report,"Slaughter, Dustin",3415 Hunter Rd
180000000203,Tue Jan 02 10:18:33 CST 2018,Public Assist,No Report,"Daenzer, Matthew",2300 S IH 35
180000000204,Tue Jan 02 10:38:33 CST 2018,Attempt to Locate,No Report,,Hwy 80/E Access Rd
180000000205,Tue Jan 02 10:41:35 CST 2018,Disturbance - Verbal,No Report,"Sparenberg, Andrew",500 Parker Dr
180000000206,Tue Jan 02 10:44:23 CST 2018,Mental Health Invest,No Report,"Bender, Joyce",1200 N Bishop St
180000000207,Tue Jan 02 10:53:33 CST 2018,Attempt to Locate,No Report,,210 SB
180000000208,Tue Jan 02 10:58:26 CST 2018,Alarm - Robbery,False Alarm,"Sparenberg, Andrew",1811 Medical Pkwy
180000000210,Tue Jan 02 11:04:47 CST 2018,Public Assist,No Report,"Castillo, Daniel",2300 S IH 35
180000000213,Tue Jan 02 11:27:30 CST 2018,Mental Health Follow Up,No Report,"Bender, Joyce",1200 N Bishop St
180000000214,Tue Jan 02 11:30:27 CST 2018,Foot Patrol,No Report,"Sparenberg, Andrew",641 E Hopkins St
180000000216,Tue Jan 02 11:52:19 CST 2018,Assault,Report,"Harrison, Todd",713 Allen St
180000000217,Tue Jan 02 11:53:04 CST 2018,Foot Patrol,No Report,"Slaughter, Dustin",1209 Crystal River Pkwy
180000000219,Tue Jan 02 12:03:01 CST 2018,Welfare Concern,No Report,"Sparenberg, Andrew",418 Field Corn Ln
180000000220,Tue Jan 02 12:04:40 CST 2018,Attempt to Locate,No Report,"Slaughter, Dustin",E Mccarty Ln/Old Bastrop Hwy
180000000224,Tue Jan 02 12:34:08 CST 2018,Assault,Ignore,,418 Field Corn Ln
180000000225,Tue Jan 02 12:35:30 CST 2018,Foot Patrol,No Report,"Sparenberg, Andrew",100 McCoy Dr
180000000226,Tue Jan 02 12:53:38 CST 2018,Canine Search,No Report,"Lee, Don",2800 Hwy 21
180000000227,Tue Jan 02 12:56:43 CST 2018,Information,Ref oth Agncy,,Scott St/Belvin St
180000000229,Tue Jan 02 13:06:14 CST 2018,Recovered Stolen Vehicle,Report,"Sparenberg, Andrew",E Access Rd/Blanco River
180000000231,Tue Jan 02 13:09:08 CST 2018,Investigation,No Report,"Sembera, Jeremy",2300 S IH 35
180000000232,Tue Jan 02 13:11:38 CST 2018,Suspicious Person,Cancelled,"Daenzer, Matthew",338 S Guadalupe St
180000000233,Tue Jan 02 13:16:41 CST 2018,Civil Matter,No Report,"Reeder, John",2300 S IH 35
180000000235,Tue Jan 02 13:28:43 CST 2018,Threat,No Report,"Reeder, John",267 Cordero Dr
180000000236,Tue Jan 02 13:29:28 CST 2018,Fraud,Cancelled,,1233 Hilltop Dr
180000000238,Tue Jan 02 13:43:42 CST 2018,,Ignore,,
180000000240,Tue Jan 02 13:54:25 CST 2018,Sexual Assault,No Report,"Reeder, John",2300 S IH 35
180000000241,Tue Jan 02 13:57:48 CST 2018,Theft,No Report,"Reeder, John",1360 Thorpe Ln
180000000243,Tue Jan 02 14:14:33 CST 2018,Theft,Arrest,"Sparenberg, Andrew",4015 S IH 35
180000000244,Tue Jan 02 14:16:46 CST 2018,Information,Ref oth Agncy,,Thorpe Ln/E Hopkins St
180000000247,Tue Jan 02 14:45:19 CST 2018,Mental Health Follow Up,No Contact,"Bender, Joyce",202 Capistrano Dr
180000000249,Tue Jan 02 15:01:56 CST 2018,Mental Health Follow Up,No Contact,"Bender, Joyce",216 Ebony St
180000000250,Tue Jan 02 15:10:08 CST 2018,Canine Search,No Report,"Lee, Don",2800 Hwy 21
180000000251,Tue Jan 02 15:10:35 CST 2018,Theft,Report,"Daenzer, Matthew",1319 Andalucia Dr
180000000252,Tue Jan 02 15:15:09 CST 2018,Harassment,No Report,"Reeder, John",2300 S IH 35
180000000253,Tue Jan 02 15:17:41 CST 2018,Mental Health Follow Up,No Contact,"Bender, Joyce",650 River Rd
180000000254,Tue Jan 02 15:18:22 CST 2018,Threat,No Report,"Cope, John",2300 S IH 35
180000000256,Tue Jan 02 15:30:20 CST 2018,Mental Health Follow Up,No Report,"Bender, Joyce",1007 Uhland Rd
180000000257,Tue Jan 02 15:31:39 CST 2018,Threat,No Report,"Reeder, John",2300 S IH 35
180000000258,Tue Jan 02 15:33:15 CST 2018,Civil Standby,No Report,"Harrison, Todd",1506 S IH 35
180000000260,Tue Jan 02 15:42:48 CST 2018,Trespassing/Unwanted,Report,"Castillo, Daniel",1111 Avalon Ave
180000000262,Tue Jan 02 15:50:05 CST 2018,Vehicle Theft,Report,"Sembera, Jeremy",1180 Thorpe Ln
180000000263,Tue Jan 02 15:53:54 CST 2018,Civil Matter,No Report,"Cope, John",2530 S IH 35
180000000264,Tue Jan 02 15:56:33 CST 2018,Solicitors,No Report,"Daenzer, Matthew",Hwy 21/Hwy 80
180000000265,Tue Jan 02 16:18:13 CST 2018,Criminal Mischief,Refer To COPR,"Fischer, Vincent",1354 Thorpe Ln
180000000266,Tue Jan 02 16:19:24 CST 2018,Burglary - Habitation,Refer To COPR,"Fischer, Vincent",1354 Thorpe Ln
180000000267,Tue Jan 02 16:47:47 CST 2018,Mental Health Invest,Report,"Bender, Joyce",1301 Wonder World Dr
180000000269,Tue Jan 02 16:54:20 CST 2018,Theft,Refer To COPR,"Crook, Daniel",1012 Hwy 123
180000000270,Tue Jan 02 17:01:23 CST 2018,Trespassing/Unwanted,Arrest,"Osborne, Joseph",105 N IH 35
180000000272,Tue Jan 02 17:14:19 CST 2018,Burglary - Building,No Report,"Marroquin, Christopher",1620 S IH 35
180000000274,Tue Jan 02 17:21:15 CST 2018,Theft,Refer To COPR,"Fischer, Vincent",1201 Thorpe Ln
180000000277,Tue Jan 02 17:56:04 CST 2018,Supplement,No Report,"Duckworth, Daniel",713 Allen St
180000000280,Tue Jan 02 18:47:43 CST 2018,Public Assist,No Report,"Osborne, Joseph",500 Parker Dr
180000000282,Tue Jan 02 19:00:12 CST 2018,Threat,No Report,"Cope, John",1631 Aquarena Springs Dr
180000000283,Tue Jan 02 19:17:20 CST 2018,Suspicious Circumstances,No Report,"Marroquin, Christopher",1420 S IH 35
180000000284,Tue Jan 02 19:31:10 CST 2018,Canine Search,No Report,"Duckworth, Daniel",2800 Hwy 21
180000000285,Tue Jan 02 19:41:48 CST 2018,Welfare Concern,No Report,"Pierce, Basil",418 Field Corn Ln
180000000288,Tue Jan 02 19:55:52 CST 2018,Assist Fire Department,No Report,"Osborne, Joseph",650 River Rd
180000000289,Tue Jan 02 20:04:16 CST 2018,Public Assist,No Report,"Reeder, John",601 River Rd
180000000290,Tue Jan 02 20:15:43 CST 2018,Assist Outside Agency,No Report,"Fischer, Vincent",W Access Rd/Yarrington Rd
180000000293,Tue Jan 02 20:34:14 CST 2018,,Ignore,,1631 Aquarena Springs Dr
180000000296,Tue Jan 02 20:45:06 CST 2018,Fireworks,No Report,"Marroquin, Christopher",1900blk Lisa Ln
180000000302,Tue Jan 02 21:01:07 CST 2018,Mental Health Invest,Report,"McGee, Miranda",418 Field Corn Ln
180000000305,Tue Jan 02 21:43:17 CST 2018,Suicidal Person,Report,"Alvarado, Manuel",118 Lake Gln
180000000306,Tue Jan 02 22:19:10 CST 2018,Viol City Ordinance,No Contact,"Pierce, Basil",668 Mill St
180000000307,Tue Jan 02 22:24:57 CST 2018,Investigation,No Report,"Alvarado, Manuel",1330 Aquarena Springs Dr
180000000310,Tue Jan 02 22:43:27 CST 2018,Robbery - Agg,Report,"McGee, Miranda",1951 Aquarena Springs Dr
180000000311,Tue Jan 02 22:53:23 CST 2018,Information,No Report,,216 E Hopkins St
180000000312,Tue Jan 02 23:10:12 CST 2018,Attempt to Locate,No Report,,200 NB
180000000316,Tue Jan 02 23:45:18 CST 2018,Disturbance - Noise,Not Verified,"Gibson, Kathryn",2913 Hunter Rd
180000000318,Tue Jan 02 23:56:58 CST 2018,Suspicious Vehicle,No Report,"Lee, Don",1225 Hwy 123
180000000319,Tue Jan 02 23:58:24 CST 2018,Close Patrol,No Report,"Lee, Don",1305 S IH 35
180000000320,Tue Jan 02 23:59:41 CST 2018,Disturbance - Verbal,No Report,"Alvarado, Manuel",1300blk Thorpe Ln
180000000321,Wed Jan 03 00:05:13 CST 2018,Suicidal Person,No Report,"Alvarado, Manuel",401 N Fredericksburg St
180000000325,Wed Jan 03 00:38:15 CST 2018,Mental Health Invest,No Report,"Pierce, Basil",1301 Wonder World Dr
180000000326,Wed Jan 03 00:46:15 CST 2018,Suicidal Person,Report,"Alvarado, Manuel",210 N Edward Gary St
180000000330,Wed Jan 03 01:26:21 CST 2018,Disturbance - Noise,Unfounded,"Marroquin, Christopher",2913 Hunter Rd
180000000331,Wed Jan 03 01:30:07 CST 2018,Animal Call,No Report,"Kennedy, Kye",301 Comal St
180000000340,Wed Jan 03 02:32:15 CST 2018,Close Patrol,No Report,"Saavedra, Tim",1305 S IH 35
180000000345,Wed Jan 03 03:14:12 CST 2018,Suspicious Person,Arrest,"Alvarado, Manuel",245 Camaro Way
180000000346,Wed Jan 03 03:25:07 CST 2018,Disturbance - Phys/Fight,Report,"McGee, Miranda",1004 N IH 35
180000000347,Wed Jan 03 03:26:06 CST 2018,Disturbance - Phys/Fight,Ignore,,1004 N IH 35
180000000348,Wed Jan 03 03:57:21 CST 2018,Disturbance - Verbal,No Report,"Tennant, Casey",1200blk N LBJ Dr
180000000349,Wed Jan 03 04:18:32 CST 2018,Suspicious Vehicle,No Report,"Tennant, Casey",1640 Aquarena Springs Dr
180000000350,Wed Jan 03 04:34:02 CST 2018,Close Patrol,No Report,"Tennant, Casey",1305 S IH 35
180000000353,Wed Jan 03 05:30:22 CST 2018,Disturbance - Verbal,No Report,"Tennant, Casey",1301 Wonder World Dr
180000000356,Wed Jan 03 06:41:58 CST 2018,Accident - Major/Injury,Report,"Murphy, Logan",Robbie Ln/Thorpe Ln
180000000358,Wed Jan 03 07:11:29 CST 2018,Attempt to Locate,No Report,,198 NB
180000000364,Wed Jan 03 07:35:09 CST 2018,Public Assist,No Report,"Smith, Marcus",2301 Hunter Rd
180000000374,Wed Jan 03 08:47:49 CST 2018,Property - Lost/Found/Imp,No Report,"Beller, Paul",1006 Hwy 80
180000000375,Wed Jan 03 08:48:14 CST 2018,Mental Health Follow Up,No Report,"Bender, Joyce",1301 Wonder World Dr
180000000380,Wed Jan 03 09:13:37 CST 2018,Viol City Ordinance,Verbal Warning,"Raven, Scott",200blk S LBJ Dr
180000000385,Wed Jan 03 09:39:17 CST 2018,Information,No Contact,"Smith, Marcus",2300 S IH 35
180000000387,Wed Jan 03 10:04:09 CST 2018,Wanted Person,No Contact,"Murphy, Logan",900 Peques St
180000000389,Wed Jan 03 10:35:59 CST 2018,Suspicious Circumstances,No Report,"Murphy, Logan",1509 Girard Ave
180000000402,Wed Jan 03 11:14:56 CST 2018,Mental Health Follow Up,No Contact,"Myers, Sam",2047 Lisa Ln
180000000403,Wed Jan 03 11:17:23 CST 2018,Suspicious Person,Ignore,,
180000000405,Wed Jan 03 11:23:59 CST 2018,Mental Health Follow Up,No Report,"Myers, Sam",2007 Castle Creek Dr
180000000406,Wed Jan 03 11:31:44 CST 2018,Mental Health Follow Up,No Contact,"Myers, Sam",1360 Thorpe Ln
180000000407,Wed Jan 03 11:36:22 CST 2018,Public Assist,No Report,"Easterly, Evan",1301 Wonder World Dr
180000000409,Wed Jan 03 11:48:27 CST 2018,Mental Health Follow Up,No Report,"Myers, Sam",1212 Monica St
180000000410,Wed Jan 03 11:49:02 CST 2018,Directed/Area Enforcement,No Report,"Scott, Charles",Nichols Dr/N LBJ Dr
180000000414,Wed Jan 03 11:54:41 CST 2018,Fraud,Report,,2300 S IH 35
180000000415,Wed Jan 03 11:56:03 CST 2018,Civil Standby,No Report,"Scott, Charles",1642 Aquarena Springs Dr
180000000417,Wed Jan 03 12:02:41 CST 2018,Attempt to Locate,Ref oth Agncy,,199 SB
180000000421,Wed Jan 03 12:10:27 CST 2018,Supplement,Refer To COPR,"Smith, Marcus",1420 S IH 35
180000000424,Wed Jan 03 12:16:05 CST 2018,Mental Health Invest,No Report,"Bender, Joyce",1360 Thorpe Ln
180000000426,Wed Jan 03 12:24:07 CST 2018,Vehicle Theft,Report,"Easterly, Evan",1304 Hwy 123
180000000430,Wed Jan 03 12:31:22 CST 2018,Mental Health Invest,Ignore,,1360 Thorpe Ln
180000000433,Wed Jan 03 12:39:48 CST 2018,Theft,Report,"Murphy, Logan",602 N IH 35
180000000434,Wed Jan 03 12:42:41 CST 2018,Mental Health Invest,No Report,"Bender, Joyce",1301 Wonder World Dr
180000000438,Wed Jan 03 12:58:39 CST 2018,Public Assist,No Report,"Smith, Marcus",2300 S IH 35
180000000442,Wed Jan 03 13:22:28 CST 2018,Theft,Refer To COPR,"Smith, Marcus",2300 S IH 35
180000000443,Wed Jan 03 13:31:57 CST 2018,Investigation,No Report,,4321 S IH 35
180000000445,Wed Jan 03 13:44:52 CST 2018,Criminal Mischief,No Report,"Scott, Charles",1180 Thorpe Ln
180000000446,Wed Jan 03 13:47:04 CST 2018,Criminal Mischief,Warning,,2913 Hunter Rd
180000000447,Wed Jan 03 13:47:54 CST 2018,Civil Standby,No Report,"Murphy, Logan",102 Knox St
180000000450,Wed Jan 03 14:04:51 CST 2018,Community Contact,No Report,"Charleswell, Eric",713 Mountain Dr
180000000453,Wed Jan 03 14:11:50 CST 2018,Trespassing/Unwanted,No Report,"Easterly, Evan",117 Salas Dr
180000000455,Wed Jan 03 14:18:20 CST 2018,Suicidal Person,No Report,"Murphy, Logan",503 Springtown Way
180000000456,Wed Jan 03 14:34:43 CST 2018,Accident - Hit and Run,No Report,,
180000000458,Wed Jan 03 14:41:07 CST 2018,Assist Fire Department,No Report,"Beller, Paul",1807 Airport Dr
180000000462,Wed Jan 03 14:54:43 CST 2018,Accident - Hit and Run,Blue Form Issue,"Scott, Charles",19215 San Marcos Hwy
180000000463,Wed Jan 03 15:03:15 CST 2018,Theft,No Contact,"Murphy, Logan",3939 S IH 35
180000000470,Wed Jan 03 15:46:36 CST 2018,Assist EMS,No Report,"Murphy, Logan",1506 S IH 35
180000000472,Wed Jan 03 16:01:33 CST 2018,Vehicle Theft,Report,"Wooten, Christopher",1334 N IH 35
180000000473,Wed Jan 03 16:02:18 CST 2018,Mental Health Follow Up,No Contact,"Bender, Joyce",2300 S IH 35
180000000474,Wed Jan 03 16:03:54 CST 2018,Vehicle Theft,Cancelled,"Beller, Paul",1015 Hwy 80
180000000476,Wed Jan 03 16:09:42 CST 2018,Theft,No Report,"Sarver, Stephen",1012 Hwy 123
180000000481,Wed Jan 03 16:39:02 CST 2018,Flagged Down,No Report,"Stephens, Paul",E Access Rd/Aquarena Springs Dr
180000000483,Wed Jan 03 16:49:35 CST 2018,Suspicious Person,No Report,"Wooten, Christopher",303 Rail Head Rd
180000000485,Wed Jan 03 16:56:26 CST 2018,Accident - Hit and Run,Report,"Murphy, Logan",Georgia St/Virginia St
180000000487,Wed Jan 03 17:01:02 CST 2018,Theft,Report,"Wisener, Andrew",1001 Leah Ave
180000000488,Wed Jan 03 17:06:36 CST 2018,Marijuana,Unfounded,"Blackwood, Kevin",1951 Aquarena Springs Dr
180000000490,Wed Jan 03 17:11:09 CST 2018,Information,No Report,,2300 S IH 35
180000000491,Wed Jan 03 17:21:06 CST 2018,Civil Matter,No Report,"Wooten, Christopher",1111 Avalon Ave
180000000495,Wed Jan 03 17:38:01 CST 2018,Disturbance - Phys/Fight,No Report,"Sarver, Stephen",1250 Sadler Dr
180000000496,Wed Jan 03 17:41:36 CST 2018,Welfare Concern,No Report,"Wisener, Andrew",1400 Clarewood Dr
180000000497,Wed Jan 03 17:58:19 CST 2018,Attempt to Locate,No Report,,Aquarena Springs Dr/E Access Rd
180000000498,Wed Jan 03 18:25:50 CST 2018,Accident - Minor,No Report,"Wooten, Christopher",753 Bandera St
